Unnamed: 0,PHI,NYG
First Downs,23,22
Rush-Yds-TDs,32-164-1,25-76-1
Cmp-Att-Yd-TD-INT,23-36-292-2-1,28-53-429-1-1
Sacked-Yards,4-30,0-0
Net Pass Yards,262,429
Total Yards,426,505
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,5-35,8-106
Third Down Conv.,7-16,7-18
Fourth Down Conv.,0-0,0-0
Time of Possession,25:23,34:37
