Quarter,Time,Tm,Detail,PHI,NYG
1.0,12:11,Giants,Andre Williams 1 yard rush (Josh Brown kick),0,7
,11:00,Eagles,Jordan Matthews 44 yard pass from Mark Sanchez (Cody Parkey kick),7,7
,6:12,Eagles,Brent Celek 1 yard pass from Mark Sanchez (Cody Parkey kick),14,7
,2:11,Giants,Josh Brown 38 yard field goal,14,10
2.0,7:26,Giants,Josh Brown 20 yard field goal,14,13
,2:02,Giants,Josh Brown 36 yard field goal,14,16
,0:00,Eagles,Cody Parkey 32 yard field goal,17,16
3.0,12:21,Eagles,Trey Burton 27 yard blocked punt return (Cody Parkey kick),24,16
,4:24,Giants,Josh Brown 53 yard field goal,24,19
4.0,13:08,Eagles,Chris Polk 1 yard rush (Cody Parkey kick),31,19
,11:47,Giants,Odell Beckham Jr. 63 yard pass from Eli Manning (Josh Brown kick),31,26
,7:56,Eagles,Cody Parkey 39 yard field goal,34,26
