Unnamed: 0,SFO,SEA
First Downs,24,27
Rush-Yds-TDs,22-52-2,28-101-1
Cmp-Att-Yd-TD-INT,29-41-322-2-1,27-37-261-4-0
Sacked-Yards,3-23,2-12
Net Pass Yards,299,249
Total Yards,351,350
Fumbles-Lost,3-1,0-0
Turnovers,2,0
Penalties-Yards,6-36,6-30
Third Down Conv.,6-13,9-15
Fourth Down Conv.,2-2,0-0
Time of Possession,29:02,30:58
