Unnamed: 0,IND,BAL
First Downs,15,13
Rush-Yds-TDs,35-100-0,20-83-0
Cmp-Att-Yd-TD-INT,15-30-170-0-2,18-29-173-0-2
Sacked-Yards,1-9,2-12
Net Pass Yards,161,161
Total Yards,261,244
Fumbles-Lost,3-0,2-2
Turnovers,2,4
Penalties-Yards,3-19,6-39
Third Down Conv.,8-19,2-11
Fourth Down Conv.,0-0,0-0
Time of Possession,31:24,28:36
