Quarter,Time,Down,ToGo,Location,IND,BAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss, Ravens to receive the opening kickoff.",,
1,15:00,,,IND 30,0,0,"Adam Vinatieri kicks off 68 yards, returned by Cory Ross for 27 yards (tackle by Matt Giordano)",0.000,0.870
1,14:53,1,10,BAL 29,0,0,Jamal Lewis middle for 1 yard (tackle by Robert Mathis and Rob Morris),0.870,0.460
1,14:14,2,9,BAL 30,0,0,Jamal Lewis middle for 2 yards (tackle by Rob Morris and Raheem Brock),0.460,0.040
1,14:14,3,7,BAL 32,0,0,Steve McNair pass complete short middle to Mark Clayton for 5 yards (tackle by Bob Sanders),0.040,-0.910
1,13:00,4,2,BAL 37,0,0,"Sam Koch punts 38 yards, returned by Terrence Wilkins for 21 yards (tackle by Dawan Landry)",-0.910,-1.990
1,12:47,1,10,IND 46,0,0,Joseph Addai right guard for 7 yards (tackle by Bart Scott),1.990,2.400
1,12:18,2,3,BAL 47,0,0,Joseph Addai right guard for 2 yards (tackle by Adalius Thomas),2.400,1.950
1,11:35,3,1,BAL 45,0,0,Joseph Addai left guard for 2 yards (tackle by Kelly Gregg and Dawan Landry),1.950,2.720
1,10:57,1,10,BAL 43,0,0,Peyton Manning pass complete deep left to Reggie Wayne for 19 yards (tackle by Samari Rolle),2.720,3.970
1,10:36,1,10,BAL 24,0,0,Joseph Addai left guard for 2 yards (tackle by Ray Lewis and Kelly Gregg),3.970,3.700
1,9:58,2,8,BAL 22,0,0,Peyton Manning pass incomplete short right intended for Marvin Harrison,3.700,3.010
1,9:53,3,8,BAL 22,0,0,Peyton Manning pass complete short left to Reggie Wayne for 10 yards,3.010,4.780
1,9:44,1,10,BAL 12,0,0,Joseph Addai left tackle for 2 yards (tackle by Kelly Gregg and Trevor Pryce),4.780,4.450
1,9:44,2,8,BAL 10,0,0,"Penalty on Trevor Pryce: Neutral Zone Infraction, 5 yards (no play)",4.450,5.410
1,8:48,2,3,BAL 5,0,0,Joseph Addai left guard for no gain (tackle by Haloti Ngata),5.410,4.610
1,8:43,3,3,BAL 5,0,0,Joseph Addai right tackle for no gain (tackle by Terrell Suggs),4.610,3.020
1,8:43,4,3,BAL 5,3,0,Adam Vinatieri 23 yard field goal good,3.020,3.000
1,,,,IND 30,3,0,"Adam Vinatieri kicks off 68 yards, returned by Cory Ross for 18 yards (tackle by Darrell Reid)",0.000,0.280
1,7:59,1,10,BAL 20,3,0,Steve McNair middle for 6 yards (tackle by Raheem Brock and Marlin Jackson),0.280,0.540
1,7:21,2,4,BAL 26,3,0,"Steve McNair pass complete short right to Todd Heap for 3 yards (tackle by Nick Harper). Todd Heap fumbles (forced by Nick Harper), recovered by Gary Brackett at BAL-31",0.540,-3.510
,,,,,,,"IND challenged the ruling, and the original play was overturned.",,
1,7:14,1,10,BAL 31,3,0,Peyton Manning pass complete short left to Reggie Wayne for 7 yards (tackle by Bart Scott),3.510,3.910
1,7:14,2,3,BAL 24,3,0,"Joseph Addai left end for no gain (tackle by Terrell Suggs). Joseph Addai fumbles (forced by Terrell Suggs), recovered by Ben Utecht at BAL-24",3.910,3.200
1,6:22,3,3,BAL 24,3,0,Peyton Manning pass complete short left to Reggie Wayne for 1 yard (tackle by Ray Lewis and Samari Rolle),3.200,2.050
1,5:41,4,2,BAL 23,6,0,Adam Vinatieri 42 yard field goal good,2.050,3.000
1,,,,IND 30,6,0,"Adam Vinatieri kicks off 65 yards, returned by Cory Ross for 21 yards (tackle by Robert Mathis)",0.000,0.670
1,5:29,1,10,BAL 26,6,0,Steve McNair pass complete deep right to Mark Clayton for 19 yards (tackle by Nick Harper),0.670,1.930
1,4:47,1,10,BAL 45,6,0,Jamal Lewis middle for 3 yards (tackle by Anthony McFarland and Bob Sanders),1.930,1.790
1,4:12,2,7,BAL 48,6,0,Jamal Lewis left guard for 2 yards (tackle by Rob Morris),1.790,1.360
1,3:33,3,5,BAL 50,6,0,Steve McNair pass complete short right to Mark Clayton for 3 yards (tackle by Marlin Jackson),1.360,0.130
1,2:49,4,2,IND 47,6,0,"Sam Koch punts 47 yards, touchback",0.130,-0.280
1,2:49,1,10,IND 20,6,0,Peyton Manning pass incomplete deep middle intended for Dallas Clark,0.280,-0.270
1,2:44,2,10,IND 20,6,0,Joseph Addai middle for 1 yard (tackle by Bart Scott),-0.270,-0.820
1,2:25,3,9,IND 21,6,0,Peyton Manning pass incomplete deep left intended for Reggie Wayne,-0.820,-1.960
1,2:20,4,9,IND 21,6,0,"Hunter Smith punts 39 yards, returned by Cory Ross for 18 yards (tackle by Dexter Reid)",-1.960,-2.790
1,2:11,1,10,IND 42,6,0,Steve McNair pass complete short left to Jamal Lewis for 8 yards (tackle by Rob Morris),2.790,3.320
1,1:37,2,2,IND 34,6,0,"Jamal Lewis right guard for 2 yards (tackle by Bob Sanders and Anthony McFarland). Penalty on Raheem Brock: Defensive Offside, 5 yards (no play)",3.320,3.640
1,1:09,1,10,IND 29,6,0,Steve McNair pass incomplete deep left intended for Todd Heap,3.640,3.100
1,1:02,2,10,IND 29,6,0,Jamal Lewis middle for 4 yards (tackle by Gary Brackett and Bob Sanders),3.100,2.940
