Unnamed: 0,DAL,PHI
First Downs,15,24
Rush-Yds-TDs,21-69-0,30-114-1
Cmp-Att-Yd-TD-INT,16-29-151-1-2,27-43-245-2-0
Sacked-Yards,3-25,2-13
Net Pass Yards,126,232
Total Yards,195,346
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,5-35,4-61
Third Down Conv.,5-12,6-14
Fourth Down Conv.,0-0,0-1
Time of Possession,24:18,35:42
