Quarter,Time,Tm,Detail,DAL,PHI
1.0,3:57,Eagles,Caleb Sturgis 22 yard field goal,0,3
2.0,14:51,Cowboys,Dan Bailey 49 yard field goal,3,3
,10:11,Cowboys,Terrance Williams 3 yard pass from Tony Romo (Dan Bailey kick),10,3
,0:07,Eagles,Zach Ertz 6 yard pass from Carson Wentz (Caleb Sturgis kick),10,10
3.0,9:18,Cowboys,Dan Bailey 23 yard field goal,13,10
,4:56,Eagles,Zach Ertz 20 yard pass from Carson Wentz (Caleb Sturgis kick),13,17
4.0,2:18,Eagles,Caleb Sturgis 33 yard field goal,13,20
,1:23,Eagles,Terrell Watson 1 yard rush (Caleb Sturgis kick),13,27
