Unnamed: 0,WAS,ATL
First Downs,17,18
Rush-Yds-TDs,32-136-1,27-181-2
Cmp-Att-Yd-TD-INT,19-27-208-1-1,17-24-135-1-1
Sacked-Yards,5-32,3-10
Net Pass Yards,176,125
Total Yards,312,306
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,10-88,7-54
Third Down Conv.,9-16,4-11
Fourth Down Conv.,1-3,0-0
Time of Possession,33:32,26:28
