Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
2,10:32,3,17,ATL 41,0,14,Matt Ryan pass complete short right to Aaron Stecker for 9 yards (tackle by Kedric Golston),-0.030,-0.060
2,9:54,4,8,ATL 50,0,14,"Michael Koenen punts 32 yards, fair catch by DeAngelo Hall",-0.060,-0.040
2,9:45,1,10,WAS 18,0,14,Ladell Betts middle for 3 yards (tackle by Mike Peterson and Curtis Lofton),0.040,0.010
2,9:10,2,7,WAS 21,0,14,Jason Campbell pass complete short right to Santana Moss for 4 yards (tackle by Jamaal Anderson),0.010,-0.270
2,8:29,3,3,WAS 25,0,14,Jason Campbell pass complete deep middle to Mike Sellers for 47 yards (tackle by Curtis Lofton),-0.270,3.710
2,7:45,1,10,ATL 28,0,14,Jason Campbell sacked by Chevis Jackson for -9 yards,3.710,1.950
2,7:13,2,19,ATL 37,0,14,Jason Campbell pass complete short right to Antwaan Randle El for 13 yards (tackle by Erik Coleman),1.950,3.010
2,6:29,3,6,ATL 24,0,14,Jason Campbell sacked by Jonathan Babineaux for -6 yards,3.010,1.410
2,6:02,4,12,ATL 30,3,14,Shaun Suisham 48 yard field goal good,1.410,3.000
2,,,,WAS 30,3,14,"Shaun Suisham kicks off 69 yards, returned by Eric Weems for 38 yards (tackle by H.B. Blades)",0.000,1.530
2,5:47,1,10,ATL 39,3,14,Michael Turner middle for 3 yards (tackle by Albert Haynesworth),1.530,1.390
2,5:09,2,7,ATL 42,3,14,Matt Ryan pass complete short left to Roddy White for 12 yards (tackle by Chris Horton),1.390,2.520
2,4:45,1,10,WAS 46,3,14,Matt Ryan pass complete short left to Roddy White for 8 yards (tackle by Carlos Rogers),2.520,3.060
2,4:19,2,2,WAS 38,3,14,Matt Ryan pass complete short middle to Michael Turner for 8 yards (tackle by Brian Orakpo),3.060,3.580
2,3:44,1,10,WAS 30,3,20,"Michael Turner left end for 30 yards, touchdown",3.580,7.000
2,,,,WAS 2,3,21,Jason Elam kicks extra point good,0.000,0.000
2,,,,ATL 30,3,21,"Michael Koenen kicks off 63 yards, returned by Rock Cartwright for 22 yards (tackle by Aaron Stecker)",0.000,0.870
2,3:31,1,10,WAS 29,3,21,Ladell Betts middle for 4 yards (tackle by John Abraham),0.870,0.870
2,2:59,2,6,WAS 33,3,21,Jason Campbell sacked by John Abraham and Jonathan Babineaux for -6 yards,0.870,-0.630
2,2:35,3,12,WAS 27,3,21,Todd Collins pass complete short left to Santana Moss for -4 yards (tackle by Chris Houston),-0.630,-1.830
2,2:30,,,,3,21,Timeout #1 by Atlanta Falcons,0.000,-1.830
2,2:29,4,16,WAS 23,3,21,"Sam Paulescu punts 50 yards, returned by Eric Weems for 17 yards (tackle by Todd Yoder). Penalty on Lawrence Sidbury: Illegal Block Above the , 10 yards",-1.830,-0.150
2,2:17,1,10,ATL 19,3,21,Matt Ryan pass incomplete short left intended for Tony Gonzalez,0.150,-0.390
2,2:12,2,10,ATL 19,3,21,Matt Ryan pass complete short middle to Aaron Stecker for 14 yards (tackle by Chris Horton),-0.390,1.140
2,2:00,1,10,ATL 33,3,21,Matt Ryan pass complete short right to Tony Gonzalez for 7 yards (tackle by Chris Horton),1.140,1.540
2,1:41,2,3,ATL 40,3,21,Matt Ryan pass incomplete short right intended for Roddy White,1.540,0.830
2,1:37,3,3,ATL 40,3,21,"Matt Ryan for 4 yards (tackle by LaRon Landry). Penalty on LaRon Landry: Unnecessary Roughness, 15 yards, Penalty on Albert Haynesworth: Unnecessary Roughness (Declined)",0.830,2.850
2,1:29,1,10,WAS 41,3,21,Matt Ryan pass complete short right to Marty Booker for 9 yards (tackle by DeAngelo Hall),2.850,3.520
2,1:05,2,1,WAS 32,3,21,"Matt Ryan pass incomplete. Penalty on Matt Ryan: Intentional Grounding, 10 yards",3.520,1.490
2,0:50,3,11,WAS 42,3,21,"Matt Ryan pass incomplete short left intended for Roddy White. Penalty on Lorenzo Alexander: Roughing the Passer, 15 yards (no play)",1.490,3.780
2,0:39,1,10,WAS 27,3,21,Matt Ryan pass complete short left to Roddy White for 7 yards (tackle by Chris Horton),3.780,4.180
2,0:33,2,3,WAS 20,3,21,Matt Ryan sacked by Brian Orakpo for -9 yards,4.180,2.280
2,0:28,,,,3,21,Timeout #2 by Atlanta Falcons,0.000,2.280
2,0:28,3,12,WAS 29,3,21,Matt Ryan pass complete short left to Tony Gonzalez for 13 yards (tackle by Chris Horton),2.280,4.510
2,0:23,,,,3,21,Timeout #3 by Atlanta Falcons,0.000,4.510
2,0:23,1,10,WAS 16,3,21,Matt Ryan pass incomplete short middle intended for Roddy White,4.510,3.900
2,0:19,2,10,WAS 16,3,21,Michael Turner middle for 1 yard,3.900,3.220
2,0:13,3,9,WAS 15,3,21,Matt Ryan spiked the ball,3.220,2.440
2,0:05,4,9,WAS 15,3,24,Jason Elam 33 yard field goal good,2.440,3.000
Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,3,24,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,WAS 20,3,24,Jason Campbell pass incomplete short middle intended for Santana Moss,0.280,-0.270
3,14:56,2,10,WAS 20,3,24,Ladell Betts left end for 5 yards (tackle by Stephen Nicholas),-0.270,-0.300
3,14:16,3,5,WAS 25,3,24,Jason Campbell middle for 19 yards (tackle by John Abraham),-0.300,1.860
3,13:38,1,10,WAS 44,3,24,Rock Cartwright right tackle for 5 yards (tackle by Stephen Nicholas),1.860,1.990
3,13:09,2,5,WAS 49,3,24,Rock Cartwright left end for 4 yards (tackle by Curtis Lofton),1.990,1.820
3,12:28,3,1,ATL 47,3,24,Jason Campbell pass complete short right to Mike Sellers for 11 yards (tackle by Mike Peterson),1.820,3.180
3,11:48,1,10,ATL 36,3,24,Jason Campbell pass complete short left to Marko Mitchell for 11 yards (tackle by Chris Houston),3.180,3.910
3,11:10,1,10,ATL 25,3,24,Ladell Betts left tackle for 2 yards (tackle by Vance Walker),3.910,3.630
3,10:29,2,8,ATL 23,3,24,"Penalty on Mike Sellers: False Start, 5 yards (no play)",3.630,2.960
3,10:02,2,13,ATL 28,3,24,Jason Campbell pass complete short left to Ladell Betts for 23 yards (tackle by Erik Coleman),2.960,6.060
3,9:15,1,5,ATL 5,3,24,Jason Campbell pass complete short left to Malcolm Kelly for 4 yards (tackle by Chris Houston),6.060,5.910
3,8:35,2,1,ATL 1,3,24,Rock Cartwright right tackle for no gain (tackle by Curtis Lofton),5.910,5.170
3,7:57,3,1,ATL 1,3,24,Rock Cartwright middle for no gain (tackle by Kroy Biermann),5.170,3.550
3,7:14,4,1,ATL 1,9,24,"Ladell Betts left guard for 1 yard, touchdown",3.550,7.000
3,,,,ATL 2,10,24,Shaun Suisham kicks extra point good,0.000,0.000
3,,,,WAS 30,10,24,"Shaun Suisham kicks off 67 yards, returned by Eric Weems for 19 yards (tackle by Lorenzo Alexander)",0.000,0.410
3,7:04,1,10,ATL 22,10,24,Michael Turner left tackle for 3 yards (tackle by Reed Doughty),0.410,0.270
3,6:28,2,7,ATL 25,10,24,Matt Ryan pass complete short right to Tony Gonzalez for 6 yards (tackle by Reed Doughty),0.270,0.370
3,5:50,3,1,ATL 31,10,24,Aaron Stecker left end for no gain (tackle by LaRon Landry),0.370,-1.310
3,5:09,4,1,ATL 31,10,24,"Michael Koenen punts 48 yards, returned by DeAngelo Hall for -2 yards (tackle by Stephen Nicholas)",-1.310,-0.150
3,4:55,1,10,WAS 19,10,24,Jason Campbell pass complete short right to Fred Davis for 16 yards (tackle by Erik Coleman),0.150,1.270
3,4:22,1,10,WAS 35,10,24,Ladell Betts left tackle for 3 yards (tackle by Mike Peterson),1.270,1.130
3,3:43,2,7,WAS 38,10,24,Ladell Betts left tackle for 15 yards (tackle by Thomas DeCoud),1.130,2.460
3,3:03,1,10,ATL 47,10,24,Santana Moss left end for 6 yards (tackle by Erik Coleman),2.460,2.720
3,2:27,2,4,ATL 41,10,24,Rock Cartwright right tackle for 7 yards (tackle by Mike Peterson and Stephen Nicholas),2.720,3.310
3,1:52,1,10,ATL 34,10,24,"Rock Cartwright middle for no gain (tackle by Trey Lewis). Penalty on Stephon Heyer: Offensive Holding, 10 yards (no play)",3.310,2.650
3,1:32,1,20,ATL 44,10,24,Jason Campbell pass complete short left to Santana Moss for 15 yards (tackle by Chris Houston),2.650,3.450
3,0:55,2,5,ATL 29,10,24,Ladell Betts right tackle for 2 yards (tackle by Jonathan Babineaux),3.450,3.010
3,0:12,3,3,ATL 27,10,24,Jason Campbell pass complete short right to Antwaan Randle El for 8 yards (tackle by Mike Peterson),3.010,4.310
Quarter,Time,Down,ToGo,Location,WAS,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ATL 19,10,24,Jason Campbell pass incomplete short left intended for Santana Moss (defended by Chris Houston),4.310,3.750
4,14:56,2,10,ATL 19,10,24,Ladell Betts middle for 7 yards (tackle by Erik Coleman),3.750,4.190
4,14:19,3,3,ATL 12,10,24,"Jason Campbell left end for 5 yards (tackle by Curtis Lofton). Penalty on Mike Peterson: Defensive Holding, 4 yards",4.190,6.510
4,13:54,1,3,ATL 3,10,24,Rock Cartwright left tackle for no gain (tackle by Thomas DeCoud),6.510,5.530
4,13:13,2,3,ATL 3,16,24,"Jason Campbell pass complete short right to Todd Yoder for 3 yards, touchdown",5.530,7.000
,,,,,,,"ATL challenged the pass completion ruling, and the play was upheld.",,
4,,,,ATL 2,17,24,Shaun Suisham kicks extra point good,0.000,0.000
4,,,,WAS 30,17,24,"Shaun Suisham kicks off 66 yards, returned by Eric Weems for 23 yards (tackle by H.B. Blades)",0.000,0.740
4,13:00,1,10,ATL 27,17,24,Matt Ryan pass complete short right to Ovie Mughelli for 8 yards (tackle by Reed Doughty),0.740,1.280
4,12:22,2,2,ATL 35,17,24,Michael Turner left end for 7 yards (tackle by Reed Doughty),1.280,1.730
4,11:36,1,10,ATL 42,17,30,"Michael Turner left tackle for 58 yards, touchdown",1.730,7.000
4,,,,WAS 2,17,31,Jason Elam kicks extra point good,0.000,0.000
4,,,,ATL 30,17,31,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
4,11:23,1,10,WAS 20,17,31,Jason Campbell left end for 1 yard (tackle by Jonathan Babineaux),0.280,-0.130
4,10:57,2,9,WAS 21,17,31,Ladell Betts left tackle for 3 yards (tackle by Chevis Jackson and Erik Coleman),-0.130,-0.430
4,10:22,3,6,WAS 24,17,31,Todd Collins pass complete short left to Marko Mitchell for 11 yards (tackle by Chris Houston),-0.430,1.270
4,9:44,1,10,WAS 35,17,31,Ladell Betts middle for 9 yards (tackle by Erik Coleman),1.270,1.940
4,9:11,2,1,WAS 44,17,31,Rock Cartwright middle for no gain (tackle by Jonathan Babineaux),1.940,1.220
4,8:36,3,1,WAS 44,17,31,"Penalty on D'Anthony Batiste: False Start, 4 yards (no play)",1.220,0.700
4,8:11,3,5,WAS 40,17,31,Todd Collins pass complete short middle to Antwaan Randle El for 7 yards (tackle by Erik Coleman),0.700,2.060
4,7:34,1,10,WAS 47,17,31,Todd Collins pass incomplete deep right intended for Santana Moss (defended by Erik Coleman),2.060,1.520
4,7:27,2,10,WAS 47,17,31,Ladell Betts middle for 9 yards (tackle by John Abraham),1.520,2.020
4,6:45,3,1,ATL 44,17,31,Ladell Betts left guard for no gain (tackle by Vance Walker),2.020,0.330
4,6:12,,,,17,31,Timeout #1 by Washington Redskins,0.000,0.330
4,6:12,4,1,ATL 44,17,31,Todd Collins pass complete short right to Mike Sellers for -2 yards (tackle by Mike Peterson and Curtis Lofton),0.330,-1.990
4,5:53,1,10,ATL 46,17,31,Michael Turner middle for 8 yards (tackle by Reed Doughty and London Fletcher),1.990,2.530
4,5:07,2,2,WAS 46,17,31,Michael Turner right guard for 1 yard (tackle by Cornelius Griffin),2.530,1.950
4,4:23,3,1,WAS 45,17,31,"Michael Turner right tackle for no gain. Penalty on Tyson Clabo: Offensive Holding, 10 yards (no play)",1.950,0.630
4,4:17,3,11,ATL 45,17,31,Matt Ryan pass complete short middle to Aaron Stecker for -1 yards (tackle by Albert Haynesworth),0.630,-0.460
4,3:28,,,,17,31,Timeout #2 by Atlanta Falcons,0.000,-0.460
4,3:25,4,12,ATL 44,17,31,Michael Koenen punts 46 yards,-0.460,0.380
4,3:15,1,10,WAS 10,17,31,Jason Campbell pass complete short right to Santana Moss for 25 yards (tackle by Curtis Lofton and Thomas DeCoud),-0.380,1.270
4,3:08,1,10,WAS 35,17,31,Jason Campbell pass complete short right to Santana Moss for 7 yards (tackle by Chevis Jackson),1.270,1.670
4,2:44,2,3,WAS 42,17,31,Jason Campbell pass incomplete short right intended for Fred Davis,1.670,0.960
4,2:41,3,3,WAS 42,17,31,Jason Campbell right end for 1 yard,0.960,-0.520
4,2:34,4,2,WAS 43,17,31,Jason Campbell pass incomplete deep left intended for Malcolm Kelly,-0.520,-2.790
4,2:27,1,10,WAS 42,17,31,Michael Turner middle for -1 yards (tackle by Reed Doughty),2.790,2.110
4,2:20,,,,17,31,Timeout #2 by Washington Redskins,0.000,2.110
4,2:20,2,11,WAS 43,17,31,Michael Turner left guard for 10 yards (tackle by London Fletcher),2.110,2.740
4,2:14,,,,17,31,Timeout #3 by Washington Redskins,0.000,2.740
4,2:14,3,1,WAS 33,17,31,Michael Turner right tackle for 2 yards (tackle by Phillip Daniels),2.740,3.510
4,2:00,1,10,WAS 31,17,31,Matt Ryan kneels for -1 yards,3.510,2.830
4,1:18,2,11,WAS 32,17,31,Matt Ryan kneels for -1 yards,2.830,2.020
4,0:39,3,12,WAS 33,17,31,Matt Ryan kneels for -1 yards,2.020,1.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
