Quarter,Time,Tm,Detail,WAS,ATL
1.0,9:18,Falcons,Tony Gonzalez 2 yard pass from Matt Ryan (Jason Elam kick),0,7
,2:47,Falcons,Tye Hill 62 yard interception return (Jason Elam kick),0,14
2.0,5:56,Redskins,Shaun Suisham 48 yard field goal,3,14
,3:36,Falcons,Michael Turner 30 yard rush (Jason Elam kick),3,21
,0:00,Falcons,Jason Elam 33 yard field goal,3,24
3.0,7:10,Redskins,Ladell Betts 1 yard rush (Shaun Suisham kick),10,24
4.0,13:05,Redskins,Todd Yoder 3 yard pass from Jason Campbell (Shaun Suisham kick),17,24
,11:23,Falcons,Michael Turner 58 yard rush (Jason Elam kick),17,31
