Quarter,Time,Tm,Detail,CIN,BAL
1.0,5:08,Bengals,Evan McPherson 52 yard field goal,3,0
2.0,14:03,Ravens,Justin Tucker 45 yard field goal,3,3
,6:29,Bengals,C.J. Uzomah 55 yard pass from Joe Burrow (Evan McPherson kick),10,3
,1:51,Ravens,Devonta Freeman 1 yard rush (Justin Tucker kick),10,10
,0:03,Bengals,Evan McPherson 30 yard field goal,13,10
3.0,13:20,Ravens,Marquise Brown 39 yard pass from Lamar Jackson (Justin Tucker kick),13,17
,11:06,Bengals,C.J. Uzomah 32 yard pass from Joe Burrow (Evan McPherson kick),20,17
,5:48,Bengals,Ja'Marr Chase 82 yard pass from Joe Burrow (Evan McPherson kick),27,17
4.0,9:24,Bengals,Joe Mixon 21 yard rush (Evan McPherson kick),34,17
,6:59,Bengals,Samaje Perine 46 yard rush (Evan McPherson kick),41,17
