Unnamed: 0,CIN,BAL
First Downs,19,20
Rush-Yds-TDs,24-111-2,24-115-1
Cmp-Att-Yd-TD-INT,23-38-416-3-1,20-42-296-1-0
Sacked-Yards,1-7,5-18
Net Pass Yards,409,278
Total Yards,520,393
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,1-5,5-46
Third Down Conv.,4-13,5-16
Fourth Down Conv.,1-2,1-4
Time of Possession,28:11,31:49
