Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 73 yards, returned by Victor Harris for 28 yards (tackle by Tim Shaw)",0.000,0.610
1,14:55,1,10,PHI 25,0,0,Donovan McNabb pass complete short left to Brent Celek for 7 yards (tackle by Zackary Bowman),0.610,1.010
1,14:14,2,3,PHI 32,0,0,Leonard Weaver right tackle for 2 yards (tackle by Alex Brown),1.010,0.560
1,13:34,3,1,PHI 34,0,0,Michael Vick right tackle for 34 yards (tackle by Charles Tillman),0.560,3.450
1,12:54,1,10,CHI 32,0,0,Donovan McNabb pass complete short right to Leonard Weaver for 6 yards (tackle by Charles Tillman),3.450,3.710
1,12:22,2,4,CHI 26,0,0,LeSean McCoy left end for 14 yards (tackle by Danieal Manning),3.710,4.780
1,11:50,1,10,CHI 12,0,0,LeSean McCoy left end for 5 yards (tackle by Corey Graham),4.780,5.020
1,11:10,2,5,CHI 7,0,0,Donovan McNabb pass incomplete short right intended for Brent Celek,5.020,4.160
1,11:06,3,5,CHI 7,0,0,Donovan McNabb pass incomplete short right intended for DeSean Jackson (defended by Corey Graham),4.160,2.980
1,10:58,4,5,CHI 7,3,0,David Akers 25 yard field goal good,2.980,3.000
1,,,,PHI 30,3,0,"David Akers kicks off 70 yards, returned by Danieal Manning for 28 yards (tackle by Moise Fokou)",0.000,0.810
1,10:49,1,10,CHI 28,3,0,Matt Forte right guard for no gain (tackle by Jeremiah Trotter),0.810,0.260
1,10:18,2,10,CHI 28,3,0,Matt Forte right end for 2 yards (tackle by Juqua Parker),0.260,-0.160
1,9:36,3,8,CHI 30,3,0,Jay Cutler pass complete short left to Johnny Knox for 9 yards (tackle by Will Witherspoon and Sheldon Brown),-0.160,1.530
1,8:57,1,10,CHI 39,3,0,Jay Cutler pass incomplete short left intended for Matt Forte,1.530,0.990
1,8:53,2,10,CHI 39,3,0,Matt Forte left guard for -1 yards (tackle by Joe Mays),0.990,0.170
1,8:18,3,11,CHI 38,3,0,Jay Cutler pass complete short right to Devin Hester for -3 yards (tackle by Victor Harris),0.170,-1.040
1,7:39,4,14,CHI 35,3,0,"Brad Maynard punts 41 yards, fair catch by DeSean Jackson",-1.040,-0.540
1,7:32,1,10,PHI 24,3,0,Leonard Weaver right end for 3 yards (tackle by Al Afalava),0.540,0.400
1,6:56,2,7,PHI 27,3,0,Michael Vick pass complete short left to Brent Celek for no gain,0.400,-0.300
1,6:11,3,7,PHI 27,3,0,"Donovan McNabb left end for 6 yards (tackle by Mark Anderson). Penalty on Israel Idonije: Face Mask (15 Yards), 15 yards",-0.300,2.130
1,5:43,1,10,PHI 48,3,0,Donovan McNabb pass complete deep right to Brent Celek for 21 yards (tackle by Charles Tillman),2.130,3.510
1,5:09,1,10,CHI 31,3,0,LeSean McCoy right guard for 5 yards (tackle by Adewale Ogunleye and Mark Anderson),3.510,3.640
1,4:28,2,5,CHI 26,3,0,"Penalty on Anthony Adams: Neutral Zone Infraction, 4 yards (no play)",3.640,4.180
1,4:17,2,1,CHI 22,3,0,Donovan McNabb pass complete short left to Jeremy Maclin for 9 yards (tackle by Zackary Bowman),4.180,4.710
1,3:36,1,10,CHI 13,3,0,Eldra Buckley right end for no gain (tackle by Mark Anderson and Zackary Bowman),4.710,4.050
1,2:56,2,10,CHI 13,9,0,"Donovan McNabb pass complete short left to Jason Avant for 13 yards, touchdown",4.050,7.000
1,,,,CHI 2,10,0,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,10,0,"David Akers kicks off 66 yards, returned by Johnny Knox for 39 yards (tackle by Quintin Mikell)",0.000,1.800
1,2:42,1,10,CHI 43,10,0,Jay Cutler pass complete short right to Greg Olsen for 3 yards (tackle by Asante Samuel),1.800,1.660
1,2:08,2,7,CHI 46,10,0,Matt Forte left guard for 5 yards (tackle by Trent Cole),1.660,1.620
1,1:29,3,2,PHI 49,10,0,Matt Forte left guard for 3 yards (tackle by Brodrick Bunkley and Jason Babin),1.620,2.520
1,0:52,1,10,PHI 46,10,0,Jay Cutler pass complete short left to Greg Olsen for 11 yards (tackle by Quintin Mikell),2.520,3.250
1,0:16,1,10,PHI 35,10,0,Matt Forte right guard for 8 yards (tackle by Will Witherspoon),3.250,3.780
Quarter,Time,Down,ToGo,Location,PHI,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,PHI 27,10,0,Jay Cutler pass incomplete deep right intended for Greg Olsen,3.780,3.070
2,14:56,3,2,PHI 27,10,0,Jay Cutler pass incomplete deep right intended for Devin Hester,3.070,1.800
2,14:50,4,2,PHI 27,10,3,Robbie Gould 45 yard field goal good,1.800,3.000
2,,,,CHI 30,10,3,"Robbie Gould kicks off 67 yards, returned by Victor Harris for 31 yards (tackle by Robbie Gould)",0.000,1.200
2,14:37,1,10,PHI 34,10,3,LeSean McCoy right guard for 1 yard (tackle by Adewale Ogunleye),1.200,0.790
2,14:01,2,9,PHI 35,10,3,Donovan McNabb pass incomplete short middle intended for Jeremy Maclin,0.790,0.100
2,13:58,3,9,PHI 35,10,3,"Penalty on Jason Peters: False Start, 5 yards (no play)",0.100,-0.560
2,13:58,3,14,PHI 30,10,3,Donovan McNabb pass complete deep left to DeSean Jackson for 20 yards (tackle by Zackary Bowman),-0.560,2.260
2,13:19,1,10,,10,3,Donovan McNabb pass complete short right to Leonard Weaver for 6 yards (tackle by Lance Briggs),2.260,2.520
2,12:42,2,4,CHI 44,10,3,Donovan McNabb pass incomplete deep right intended for Jason Avant,2.520,1.820
