Quarter,Time,Down,ToGo,Location,MIN,STL,Detail,EPB,EPA
2,12:32,1,10,MIN 14,14,0,Steven Jackson middle for 13 yards (tackle by Benny Sapp),4.650,6.970
2,11:56,1,1,MIN 1,14,0,"Steven Jackson right guard for -3 yards (tackle by Pat Williams). Steven Jackson fumbles (forced by Pat Williams), recovered by Jared Allen at MIN-4 (tackle by Keenan Burton). Penalty on Jacob Bell: Offensive Holding (Declined)",6.970,0.380
2,11:48,1,10,MIN 4,14,0,Adrian Peterson right end for 15 yards (tackle by Will Witherspoon),-0.380,0.150
2,11:14,1,10,MIN 19,14,0,Brett Favre pass complete short left to Percy Harvin for 1 yard (tackle by Craig Dahl),0.150,-0.200
2,10:35,2,9,MIN 20,14,0,Adrian Peterson middle for no gain (tackle by Leonard Little),-0.200,-0.940
2,9:51,3,9,MIN 20,14,0,Brett Favre pass incomplete short middle intended for Bernard Berrian is intercepted by James Laurinaitis at MIN-32 and returned for 7 yards,-0.940,-3.910
2,9:37,1,10,MIN 25,14,0,Steven Jackson left guard for 1 yard (tackle by Tyrell Johnson),3.910,3.500
2,9:05,2,9,MIN 24,14,0,Kyle Boller pass incomplete deep right intended for Daniel Fells,3.500,2.810
2,8:56,3,9,MIN 24,14,0,Kyle Boller pass complete short middle to Daniel Fells for 14 yards (tackle by Madieu Williams),2.810,4.910
2,8:17,1,10,MIN 10,14,0,Kyle Boller middle for -1 yards (tackle by Kevin Williams),4.910,4.020
2,7:50,2,11,MIN 11,14,0,Kyle Boller pass incomplete short right intended for Randy McMichael,4.020,3.120
2,7:46,3,11,MIN 11,14,0,Kyle Boller pass incomplete short middle intended for Steven Jackson,3.120,2.700
2,7:41,4,11,MIN 11,14,3,Josh Brown 29 yard field goal good,2.700,3.000
2,,,,STL 30,14,3,"Josh Brown kicks off 68 yards, returned by Percy Harvin for 27 yards (tackle by Quincy Butler). Penalty on Quincy Butler: Horse Collar, 15 yards",0.000,1.860
2,7:32,1,10,MIN 44,14,3,Brett Favre pass complete deep right to Percy Harvin for 19 yards (tackle by Will Witherspoon),1.860,3.120
2,7:05,1,10,STL 37,14,3,Brett Favre pass incomplete deep left intended for Bernard Berrian (defended by Clifton Ryan),3.120,2.570
2,7:05,2,10,STL 37,14,3,Brett Favre pass complete short left to Brett Favre for -2 yards (tackle by LaJuan Ramsey),2.570,1.620
2,6:23,3,12,STL 39,14,3,Brett Favre pass complete short left to Chester Taylor for 10 yards (tackle by James Laurinaitis),1.620,1.600
2,5:40,4,2,STL 29,17,3,Ryan Longwell 47 yard field goal good,1.600,3.000
2,,,,MIN 30,17,3,"Ryan Longwell kicks off 70 yards, returned by Danny Amendola for 30 yards (tackle by Karl Paymah)",0.000,0.940
2,5:27,1,10,STL 30,17,3,Steven Jackson left end for no gain (tackle by Benny Sapp),0.940,0.390
2,4:56,2,10,STL 30,17,3,Kyle Boller pass complete short left to Daniel Fells for 11 yards (tackle by Cedric Griffin),0.390,1.660
2,4:35,1,10,STL 41,17,3,Steven Jackson right tackle for 1 yard (tackle by Fred Evans),1.660,1.260
2,3:59,2,9,STL 42,17,3,Kyle Boller pass incomplete short right intended for Donnie Avery,1.260,0.560
2,3:54,3,9,STL 42,17,3,Kyle Boller pass complete short left to Steven Jackson for 25 yards (tackle by Tyrell Johnson),0.560,3.380
2,3:25,1,10,MIN 33,17,3,Steven Jackson left end for 10 yards (tackle by Cedric Griffin),3.380,4.040
2,2:56,1,10,MIN 23,17,3,Samkon Gado left tackle for 11 yards (tackle by Chad Greenway),4.040,4.780
2,2:20,1,10,MIN 12,17,3,Samkon Gado left guard for 4 yards (tackle by Pat Williams),4.780,4.830
2,2:00,2,6,MIN 8,17,3,"Kyle Boller pass complete short right to Daniel Fells for 5 yards (tackle by Chad Greenway). Daniel Fells fumbles (forced by Chad Greenway), recovered by E.J. Henderson at MIN-2 and returned for 6 yards (tackle by Kyle Boller)",4.830,0.380
2,1:51,1,10,MIN 8,17,3,"Penalty on Brett Favre: Delay of Game, 4 yards (no play)",-0.380,-0.530
2,1:51,1,14,MIN 4,17,3,Brett Favre pass complete short right to Bernard Berrian for 19 yards (tackle by Craig Dahl),-0.530,0.480
2,1:25,1,10,MIN 23,17,3,Brett Favre pass complete short right to Adrian Peterson for -3 yards (tackle by James Laurinaitis),0.480,-0.470
2,1:01,2,13,MIN 20,17,3,Chester Taylor middle for 6 yards (tackle by James Hall),-0.470,-0.360
2,0:25,3,7,MIN 26,17,3,Brett Favre pass complete short right to Visanthe Shiancoe for 17 yards (tackle by O.J. Atogwe),-0.360,1.800
2,0:18,1,10,MIN 43,17,3,Brett Favre sacked by Craig Dahl for -8 yards,1.800,0.170
Quarter,Time,Down,ToGo,Location,MIN,STL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 30,17,3,"Ryan Longwell kicks off 67 yards, returned by Danny Amendola for 30 yards (tackle by Benny Sapp)",0.000,1.140
3,14:55,1,10,STL 33,17,3,Kyle Boller pass complete short right to Randy McMichael for 2 yards (tackle by Ben Leber),1.140,0.860
3,14:25,2,8,STL 35,17,3,Steven Jackson middle for no gain (tackle by Tyrell Johnson),0.860,0.170
3,13:49,3,8,STL 35,17,3,Kyle Boller pass complete short left to Danny Amendola for 7 yards (tackle by Benny Sapp),0.170,-0.590
3,13:10,4,1,STL 42,17,3,Donnie Jones punts 48 yards,-0.590,0.380
3,12:59,1,10,MIN 10,17,3,Adrian Peterson left guard for 13 yards (tackle by O.J. Atogwe),-0.380,0.480
3,12:29,1,10,MIN 23,17,3,Adrian Peterson right end for -2 yards (tackle by Leonard Little),0.480,-0.340
3,11:53,2,12,MIN 21,17,3,Brett Favre pass complete short left to Bernard Berrian for 12 yards (tackle by Bradley Fletcher),-0.340,1.140
3,11:12,1,10,MIN 33,17,3,Chester Taylor left tackle for 3 yards (tackle by Gary Gibson),1.140,1.000
3,10:28,2,7,MIN 36,17,3,Brett Favre pass complete deep right to Sidney Rice for 47 yards (tackle by Bradley Fletcher),1.000,4.440
3,10:01,1,10,STL 17,17,3,Adrian Peterson right end for 4 yards (tackle by O.J. Atogwe and Ronald Bartell),4.440,4.500
3,9:21,2,6,STL 13,23,3,"Brett Favre pass complete short middle to Visanthe Shiancoe for 13 yards, touchdown. Penalty on Clifton Ryan: Defensive Offside (Declined)",4.500,7.000
3,,,,STL 2,24,3,Ryan Longwell kicks extra point good,0.000,0.000
3,,,,MIN 30,24,3,"Ryan Longwell kicks off 72 yards, returned by Danny Amendola for 21 yards (tackle by Heath Farwell)",0.000,0.150
3,9:10,1,10,STL 19,24,3,Kyle Boller pass incomplete short left intended for Mike Karney (defended by Jared Allen),0.150,-0.390
3,9:10,2,10,STL 19,24,3,Kyle Boller pass complete short right to Daniel Fells for 8 yards (tackle by Ray Edwards),-0.390,-0.030
3,8:28,3,2,STL 27,24,3,Mike Karney middle for no gain (tackle by E.J. Henderson),-0.030,-1.570
3,7:50,4,2,STL 27,24,3,Donnie Jones punts 44 yards,-1.570,-0.870
3,7:36,1,10,MIN 29,24,3,Brett Favre pass complete short right to Chester Taylor for 6 yards (tackle by Will Witherspoon),0.870,1.140
3,6:57,2,4,MIN 35,24,3,Chester Taylor left tackle for no gain (tackle by Craig Dahl),1.140,0.430
3,6:13,3,4,MIN 35,24,3,Brett Favre pass incomplete short left intended for Bernard Berrian,0.430,-1.040
3,6:07,4,4,MIN 35,24,3,"Chris Kluwe punts 46 yards, fair catch by Danny Amendola",-1.040,-0.150
3,5:59,1,10,STL 19,24,3,Steven Jackson left guard for no gain (tackle by Benny Sapp),0.150,-0.390
3,5:29,2,10,STL 19,24,3,Kyle Boller pass complete short right to Kenneth Darby for 3 yards (tackle by Chad Greenway),-0.390,-0.680
3,4:55,3,7,STL 22,24,3,"Kyle Boller sacked by Kevin Williams for -6 yards. Penalty on Kevin Williams: Unnecessary Roughness, 15 yards",-0.680,1.000
3,4:27,1,10,STL 31,24,3,Kyle Boller pass complete short left to Keenan Burton for 4 yards (tackle by Madieu Williams),1.000,1.000
3,4:05,2,6,STL 35,24,3,Kyle Boller pass complete short right to Daniel Fells for 7 yards (tackle by Chad Greenway),1.000,1.730
3,3:37,1,10,STL 42,24,3,Steven Jackson middle for 2 yards (tackle by Jared Allen and Fred Evans),1.730,1.460
3,3:04,2,8,STL 44,24,3,Kyle Boller pass incomplete deep left intended for Keenan Burton,1.460,0.760
3,2:56,3,8,STL 44,24,3,Kyle Boller pass complete short left to Donnie Avery for 14 yards (tackle by Chad Greenway),0.760,2.790
3,2:14,1,10,MIN 42,24,3,Kyle Boller pass incomplete deep left intended for Keenan Burton (defended by Tyrell Johnson),2.790,2.240
3,2:05,2,10,MIN 42,24,3,Steven Jackson middle for 15 yards (tackle by Cedric Griffin and Ben Leber),2.240,3.780
3,1:34,1,10,MIN 27,24,3,Kyle Boller pass complete short middle to Danny Amendola for 14 yards (tackle by Antoine Winfield),3.780,4.710
3,0:59,1,10,MIN 13,24,3,Steven Jackson middle for 1 yard (tackle by Madieu Williams),4.710,4.220
3,0:26,2,9,MIN 12,24,3,Kyle Boller pass complete short left to Danny Amendola for 3 yards (tackle by Cedric Griffin),4.220,3.880
Quarter,Time,Down,ToGo,Location,MIN,STL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,,24,3,Timeout #1 by Los Angeles Rams,0.000,3.880
4,15:00,3,6,MIN 9,24,3,Kyle Boller pass incomplete short right intended for Donnie Avery (defended by Benny Sapp),3.880,2.850
4,14:56,4,6,MIN 9,24,3,Kyle Boller pass incomplete short right intended for Keenan Burton is intercepted by Tyrell Johnson,2.850,-0.280
4,14:49,1,10,MIN 20,24,3,"Brett Favre pass incomplete deep right intended for Sidney Rice. Penalty on Ronald Bartell: Defensive Pass Interfere, 34 yards (no play)",0.280,2.520
4,14:43,1,10,STL 46,24,3,Adrian Peterson left guard for 5 yards (tackle by James Hall),2.520,2.650
4,14:08,2,5,STL 41,24,3,Adrian Peterson left end for 4 yards (tackle by Ronald Bartell),2.650,2.480
4,13:21,3,1,STL 37,24,3,Adrian Peterson right guard for 4 yards (tackle by Paris Lenon),2.480,3.380
4,12:39,1,10,STL 33,24,3,Adrian Peterson right tackle for -1 yards (tackle by Will Witherspoon),3.380,2.700
4,12:05,2,11,STL 34,24,3,Brett Favre pass complete short left to Visanthe Shiancoe for 11 yards (tackle by Ronald Bartell),2.700,4.040
4,11:28,1,10,STL 23,24,3,Brett Favre pass incomplete deep middle intended for Sidney Rice,4.040,3.500
4,11:22,2,10,STL 23,24,3,Brett Favre pass complete short right to Visanthe Shiancoe for 8 yards (tackle by Craig Dahl),3.500,4.050
4,10:43,3,2,STL 15,24,3,Brett Favre pass complete short left to Bernard Berrian for 8 yards (tackle by Craig Dahl),4.050,5.600
4,10:07,1,7,STL 7,30,3,"Adrian Peterson middle for 7 yards, touchdown",5.600,7.000
4,,,,STL 2,31,3,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,MIN 30,31,3,"Ryan Longwell kicks off 68 yards, returned by Danny Amendola for 18 yards (tackle by Jamarca Sanford)",0.000,0.280
4,9:57,1,10,STL 20,31,3,Steven Jackson right tackle for 7 yards (tackle by Ben Leber),0.280,0.680
4,9:17,2,3,STL 27,31,3,"Marc Bulger pass complete short left to Donnie Avery for 4 yards (tackle by Ben Leber). Penalty on Ben Leber: Unnecessary Roughness, 15 yards",0.680,1.990
4,8:49,1,10,STL 46,31,3,"Penalty on Fred Evans: Encroachment, 5 yards (no play)",1.990,2.720
4,8:39,1,5,MIN 49,31,3,Marc Bulger pass complete short left to Keenan Burton for 11 yards (tackle by Cedric Griffin),2.720,3.050
4,8:06,1,10,MIN 38,31,3,Steven Jackson middle for 9 yards (tackle by Jimmy Kennedy),3.050,3.720
4,7:33,2,1,MIN 29,31,3,Steven Jackson middle for 2 yards (tackle by Jimmy Kennedy),3.720,3.780
4,6:52,1,10,MIN 27,31,9,"Marc Bulger pass complete deep right to Donnie Avery for 27 yards, touchdown",3.780,7.000
4,,,,MIN 2,31,10,Josh Brown kicks extra point good,0.000,0.000
4,,,,STL 30,31,10,"Josh Brown kicks off 77 yards, touchback",0.000,0.280
4,6:45,1,10,MIN 20,31,10,Chester Taylor right end for 3 yards (tackle by Craig Dahl),0.280,0.140
4,6:06,2,7,MIN 23,31,10,Chester Taylor left end for 6 yards (tackle by Chris Long),0.140,0.230
4,5:26,3,1,MIN 29,31,10,Tarvaris Jackson pass complete short right to Naufahu Tahi for 32 yards (tackle by Bradley Fletcher),0.230,2.980
4,4:42,1,10,STL 39,31,10,Chester Taylor left tackle for no gain (tackle by Clifton Ryan),2.980,2.440
4,4:02,2,10,STL 39,31,10,Tarvaris Jackson pass complete short right to Sidney Rice for 3 yards (tackle by O.J. Atogwe),2.440,2.150
4,3:20,3,7,STL 36,31,10,"Tarvaris Jackson pass complete short right to Chester Taylor for 33 yards (tackle by O.J. Atogwe). Penalty on Craig Dahl: Roughing the Passer, 2 yards",2.150,6.970
4,3:10,1,1,STL 1,31,10,Chester Taylor left guard for no gain (tackle by Ronald Bartell),6.970,5.910
4,2:32,2,1,STL 1,31,10,Chester Taylor right guard for no gain (tackle by Clifton Ryan),5.910,5.170
4,2:00,3,1,STL 1,37,10,"Chester Taylor right tackle for 1 yard, touchdown",5.170,7.000
4,,,,STL 2,38,10,Ryan Longwell kicks extra point good,0.000,0.000
4,,,,MIN 30,38,10,"Ryan Longwell kicks off 67 yards, returned by Danny Amendola for 18 yards (tackle by Eric Frampton). Penalty on Daniel Fells: Illegal Block Above the , 10 yards",0.000,-0.380
4,1:49,1,10,STL 8,38,10,Marc Bulger pass complete short middle to Randy McMichael for 8 yards (tackle by Jasper Brinkley),-0.380,-0.090
4,1:27,2,2,STL 16,38,10,Marc Bulger pass complete short right to Danny Amendola for 9 yards (tackle by Jasper Brinkley),-0.090,0.610
4,0:59,1,10,STL 25,38,10,"Penalty on Jason Brown: False Start, 5 yards (no play)",0.610,0.280
4,0:56,,,,38,10,Timeout #2 by Los Angeles Rams,0.000,0.280
4,0:56,1,15,STL 20,38,10,Kenneth Darby right end for 13 yards (tackle by Jamarca Sanford),0.280,1.140
4,0:29,2,2,STL 33,38,10,Marc Bulger pass complete short middle to Danny Amendola for 10 yards (tackle by Heath Farwell),1.140,1.800
4,0:03,1,10,STL 43,38,10,Marc Bulger pass complete deep left to Donnie Avery for 19 yards (tackle by Husain Abdullah),1.800,3.050
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
