Quarter,Time,Tm,Detail,MIN,STL
1.0,10:17,Vikings,Adrian Peterson 5 yard rush (Ryan Longwell kick),7,0
,8:00,Vikings,Jared Allen 52 yard defensive fumble return (Ryan Longwell kick),14,0
2.0,7:38,Rams,Josh Brown 29 yard field goal,14,3
,5:34,Vikings,Ryan Longwell 47 yard field goal,17,3
3.0,9:15,Vikings,Visanthe Shiancoe 13 yard pass from Brett Favre (Ryan Longwell kick),24,3
4.0,10:01,Vikings,Adrian Peterson 7 yard rush (Ryan Longwell kick),31,3
,6:45,Rams,Donnie Avery 27 yard pass from Marc Bulger (Josh Brown kick),31,10
,1:55,Vikings,Chester Taylor 1 yard rush (Ryan Longwell kick),38,10
