Unnamed: 0,MIN,STL
First Downs,21,27
Rush-Yds-TDs,24-89-3,30-122-0
Cmp-Att-Yd-TD-INT,21-27-300-1-1,27-38-297-1-1
Sacked-Yards,2-12,2-19
Net Pass Yards,288,278
Total Yards,377,400
Fumbles-Lost,0-0,4-3
Turnovers,1,4
Penalties-Yards,5-44,7-82
Third Down Conv.,7-11,5-12
Fourth Down Conv.,0-0,1-2
Time of Possession,27:21,32:39
