Unnamed: 0,NOR,ATL
First Downs,24,25
Rush-Yds-TDs,22-67-1,26-87-0
Cmp-Att-Yd-TD-INT,32-43-323-1-0,24-36-334-2-1
Sacked-Yards,0-0,1-7
Net Pass Yards,323,327
Total Yards,390,414
Fumbles-Lost,1-1,2-1
Turnovers,1,2
Penalties-Yards,4-45,4-32
Third Down Conv.,6-10,8-12
Fourth Down Conv.,0-1,0-0
Time of Possession,29:34,30:26
