Quarter,Time,Tm,Detail,NOR,ATL
1.0,6:43,Falcons,Shayne Graham 51 yard field goal,0,3
,3:13,Saints,Tim Hightower 1 yard rush (Kai Forbath kick),7,3
2.0,14:24,Falcons,Tony Moeaki 42 yard pass from Matt Ryan (Shayne Graham kick),7,10
,10:47,Saints,Ben Watson 13 yard pass from Drew Brees (Kai Forbath kick),14,10
,0:26,Falcons,Devonta Freeman 4 yard pass from Matt Ryan (Shayne Graham kick),14,17
3.0,5:29,Saints,Kai Forbath 41 yard field goal,17,17
4.0,0:00,Saints,Kai Forbath 30 yard field goal,20,17
