Quarter,Time,Tm,Detail,DEN,ARI
1.0,10:36,Broncos,Stephen Hauschka 32 yard field goal,3,0
,4:35,Cardinals,Jay Feely 36 yard field goal,3,3
2.0,11:50,Cardinals,Jay Feely 48 yard field goal,3,6
,4:02,Cardinals,Jay Feely 5 yard rush (Jay Feely kick),3,13
,0:02,Cardinals,Jay Feely 55 yard field goal,3,16
3.0,9:40,Cardinals,Jay Feely 23 yard field goal,3,19
4.0,14:55,Cardinals,Jay Feely 49 yard field goal,3,22
,11:20,Broncos,Stephen Hauschka 30 yard field goal,6,22
,6:07,Cardinals,Tim Hightower 8 yard rush (Jay Feely kick),6,29
,3:31,Broncos,Knowshon Moreno 1 yard rush (Stephen Hauschka kick),13,29
,3:09,Cardinals,Tim Hightower 35 yard rush (Jay Feely kick),13,36
,2:42,Cardinals,Darnell Dockett 40 yard defensive fumble return (Jay Feely kick),13,43
