Unnamed: 0,DEN,ARI
First Downs,20,21
Rush-Yds-TDs,31-132-1,34-211-3
Cmp-Att-Yd-TD-INT,19-41-166-0-3,15-38-146-0-0
Sacked-Yards,1-10,0-0
Net Pass Yards,156,146
Total Yards,288,357
Fumbles-Lost,3-3,4-1
Turnovers,6,1
Penalties-Yards,8-66,7-62
Third Down Conv.,3-15,4-16
Fourth Down Conv.,0-1,1-1
Time of Possession,29:39,30:21
