Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Brian Robinson Jr.,WAS,10,31,0,1,27,2.7,4,0.4,0,
Sam Howell,WAS,4,3,0,1,3,0.8,0,0.0,0,
Chris Rodriguez,WAS,4,23,0,1,18,4.5,5,1.3,1,4.0
Antonio Gibson,WAS,3,15,0,0,9,3.0,6,2.0,0,
Curtis Samuel,WAS,1,0,0,0,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Tyler Allgeier,ATL,13,51,0,2,30,2.3,21,1.6,1,13.0
Bijan Robinson,ATL,13,37,0,1,29,2.2,8,0.6,1,13.0
Desmond Ridder,ATL,2,18,0,2,13,6.5,5,2.5,1,2.0
Cordarrelle Patterson,ATL,1,0,0,0,0,0.0,0,0.0,0,
