Unnamed: 0,WAS,ATL
First Downs,13,25
Rush-Yds-TDs,22-72-0,29-106-0
Cmp-Att-Yd-TD-INT,14-23-151-3-0,28-47-307-2-3
Sacked-Yards,5-30,3-11
Net Pass Yards,121,296
Total Yards,193,402
Fumbles-Lost,0-0,0-0
Turnovers,0,3
Penalties-Yards,6-40,4-31
Third Down Conv.,2-10,5-15
Fourth Down Conv.,1-1,1-3
Time of Possession,23:37,36:23
