Unnamed: 0,BAL,PIT
First Downs,22,22
Rush-Yds-TDs,18-63-0,25-55-0
Cmp-Att-Yd-TD-INT,30-45-303-2-1,25-37-340-6-0
Sacked-Yards,4-34,3-19
Net Pass Yards,269,321
Total Yards,332,376
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,10-108,7-67
Third Down Conv.,3-13,6-14
Fourth Down Conv.,2-2,1-1
Time of Possession,28:34,31:26
