Unnamed: 0,ARI,NYJ
First Downs,33,23
Rush-Yds-TDs,15-42-3,26-89-0
Cmp-Att-Yd-TD-INT,40-57-472-2-3,24-34-289-6-1
Sacked-Yards,5-46,2-5
Net Pass Yards,426,284
Total Yards,468,373
Fumbles-Lost,5-4,0-0
Turnovers,7,1
Penalties-Yards,11-71,4-61
Third Down Conv.,5-11,5-13
Fourth Down Conv.,2-2,3-3
Time of Possession,31:00,29:00
