#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,13:15,ARI 21,12,5:35,50,Fumble
2,1,6:32,NYJ 16,4,1:30,-3,Downs
3,2,14:44,ARI 24,3,1:19,2,Interception
4,2,13:25,ARI 27,6,3:41,26,Punt
5,2,7:17,ARI 24,1,0:17,0,Interception
6,2,3:32,ARI 26,3,1:32,14,Fumble
7,2,0:10,ARI 20,1,0:08,-8,Fumble
8,3,15:00,ARI 21,6,2:21,79,Touchdown
9,3,10:47,ARI 24,13,5:06,76,Touchdown
10,3,5:41,ARI 46,7,2:51,54,Touchdown
11,4,11:50,ARI 38,6,2:01,62,Touchdown
12,4,7:26,ARI 34,6,2:37,66,Touchdown
13,4,3:06,ARI 35,1,0:08,-6,Fumble
14,4,1:54,ARI 20,9,1:54,71,Interception
