Quarter,Time,Tm,Detail,KAN,CHI
1.0,1:30,Chiefs,Patrick Mahomes 12 yard rush (Harrison Butker kick),7,0
2.0,11:41,Chiefs,Harrison Butker 56 yard field goal,10,0
,0:52,Chiefs,Travis Kelce 6 yard pass from Patrick Mahomes (Harrison Butker kick),17,0
3.0,0:00,Bears,Eddy Pineiro 46 yard field goal,17,3
4.0,10:05,Chiefs,Damien Williams 14 yard pass from Patrick Mahomes (Harrison Butker kick failed),23,3
,1:40,Chiefs,Harrison Butker 32 yard field goal,26,3
