Unnamed: 0,KAN,CHI
First Downs,25,18
Rush-Yds-TDs,29-106-1,22-101-0
Cmp-Att-Yd-TD-INT,23-33-251-2-0,18-34-157-0-0
Sacked-Yards,1-7,3-24
Net Pass Yards,244,133
Total Yards,350,234
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,9-71,7-50
Third Down Conv.,6-11,5-12
Fourth Down Conv.,0-0,0-3
Time of Possession,33:24,26:36
