0,1
Game Info,Game Info
Won Toss,Broncos (deferred)
Roof,outdoors
Surface,grass
Duration,3:19
Attendance,76108
Weather,"81 degrees, relative humidity 24%, wind 5 mph"
Vegas Line,Denver Broncos -4.0
Over/Under,38.5 (over)
