Unnamed: 0,WAS,DEN
First Downs,26,21
Rush-Yds-TDs,23-122-2,23-122-1
Cmp-Att-Yd-TD-INT,27-39-299-2-0,18-32-308-3-1
Sacked-Yards,4-33,7-31
Net Pass Yards,266,277
Total Yards,388,399
Fumbles-Lost,2-0,1-1
Turnovers,0,2
Penalties-Yards,8-71,9-58
Third Down Conv.,3-10,4-12
Fourth Down Conv.,1-1,2-2
Time of Possession,33:45,26:15
