Unnamed: 0,CHI,NWE
First Downs,24,12
Rush-Yds-TDs,45-243-2,19-70-1
Cmp-Att-Yd-TD-INT,13-21-179-1-1,17-28-198-1-3
Sacked-Yards,4-32,1-8
Net Pass Yards,147,190
Total Yards,390,260
Fumbles-Lost,5-0,1-1
Turnovers,1,4
Penalties-Yards,4-35,4-30
Third Down Conv.,11-18,5-10
Fourth Down Conv.,0-1,0-1
Time of Possession,37:14,22:46
