Unnamed: 0,BAL,MIA
First Downs,20,10
Rush-Yds-TDs,40-133-2,11-22-0
Cmp-Att-Yd-TD-INT,19-32-269-0-1,21-40-307-1-0
Sacked-Yards,2-18,6-35
Net Pass Yards,251,272
Total Yards,384,294
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,6-64,4-65
Third Down Conv.,6-16,3-16
Fourth Down Conv.,0-0,1-1
Time of Possession,36:16,23:44
