Quarter,Time,Down,ToGo,Location,BAL,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,MIA 20,0,0,Ryan Tannehill pass complete short right to Mike Wallace for 9 yards (tackle by Lardarius Webb),0.280,0.950
1,14:27,2,1,MIA 29,0,0,Lamar Miller right tackle for no gain (tackle by Haloti Ngata),0.950,0.950
1,13:47,2,1,MIA 29,0,0,Timeout #1 by Miami Dolphins,0.950,0.230
1,13:47,3,1,MIA 29,0,0,Lamar Miller right end for no gain (tackle by Haloti Ngata and Josh Bynes),0.230,-1.440
1,13:07,4,1,MIA 29,0,0,"Brandon Fields punts 60 yards, returned by Tandon Doss for 16 yards (tackle by Austin Spitler)",-1.440,-0.740
1,12:53,1,10,BAL 27,0,0,Ray Rice up the middle for 5 yards (tackle by Dannell Ellerbe),0.740,0.870
1,12:27,2,5,BAL 32,0,0,Joe Flacco pass incomplete deep middle intended for Torrey Smith,0.870,0.170
1,12:20,3,5,BAL 32,0,0,Joe Flacco pass complete short left to Torrey Smith for 41 yards (tackle by Chris Clemons),0.170,3.780
1,11:49,1,10,MIA 27,0,0,Ray Rice right tackle for 3 yards (tackle by Randy Starks),3.780,3.640
1,11:15,2,7,MIA 24,0,0,Ray Rice right guard for no gain (tackle by Dannell Ellerbe),3.640,2.940
1,10:34,3,7,MIA 24,0,0,Joe Flacco pass incomplete short left intended for Kyle Juszczyk,2.940,1.870
1,10:28,4,7,MIA 24,3,0,Justin Tucker 42 yard field goal good,1.870,3.000
1,10:28,,,BAL 35,3,0,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
1,10:24,1,10,MIA 20,3,0,Ryan Tannehill pass incomplete deep right intended for Charles Clay (defended by James Ihedigbo),0.280,-0.270
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the original play was overturned.",,
1,10:17,2,10,MIA 20,3,0,Lamar Miller up the middle for no gain (tackle by James Ihedigbo). Penalty on MIA: Illegal Shift (Declined),-0.270,-0.960
1,10:13,3,10,MIA 20,3,0,Ryan Tannehill sacked by Courtney Upshaw for -9 yards,-0.960,-2.490
1,9:30,4,19,MIA 11,3,0,"Brandon Fields punts 62 yards, returned by Tandon Doss for 8 yards (tackle by R.J. Stanford)",-2.490,-1.270
1,9:17,1,10,BAL 35,3,0,Ray Rice left tackle for 7 yards (tackle by Chris Clemons),1.270,1.670
1,8:40,2,3,BAL 42,3,0,Ray Rice up the middle for 1 yard (tackle by Jared Odrick),1.670,1.670
1,7:55,2,3,BAL 42,3,0,Timeout #1 by Baltimore Ravens,1.670,1.090
1,7:55,3,2,BAL 43,3,0,Bernard Pierce right end for 1 yard (tackle by Nolan Carroll),1.090,-0.460
1,7:17,4,1,BAL 44,3,0,"Sam Koch punts 26 yards, out of bounds",-0.460,-0.940
1,7:11,1,10,MIA 30,3,0,"Ryan Tannehill for no gain. Mike Pouncey fumbles, recovered by Mike Pouncey at MIA-MIA",0.940,-2.090
1,6:35,2,28,MIA 12,3,0,Ryan Tannehill pass complete short right to Mike Wallace for 12 yards (tackle by Corey Graham),-2.090,-1.090
1,5:57,3,16,MIA 24,3,0,Ryan Tannehill pass complete short right to Daniel Thomas for 8 yards (tackle by Arthur Brown),-1.090,-1.240
1,5:19,4,8,MIA 32,3,0,"Brandon Fields punts 53 yards, out of bounds",-1.240,0.220
1,5:15,1,10,BAL 15,3,0,Joe Flacco pass incomplete short right intended for Vonta Leach,-0.220,-0.710
1,5:10,2,10,BAL 15,3,0,Bernard Pierce left end for -1 yards (tackle by Olivier Vernon),-0.710,-1.510
1,4:32,3,11,BAL 14,3,0,Joe Flacco pass complete short middle to Tandon Doss for 11 yards (tackle by Jimmy Wilson),-1.510,0.610
1,3:50,1,10,BAL 25,3,0,"Ray Rice right tackle for 3 yards (tackle by Paul Soliai). Ray Rice fumbles (forced by Paul Soliai), recovered by Dannell Ellerbe at BAL-29 (tackle by Vonta Leach)",0.610,-3.640
1,3:45,1,10,BAL 29,3,0,"Ryan Tannehill pass incomplete deep right intended for Mike Wallace. Penalty on Jimmy Smith: Defensive Holding, 5 yards (no play)",3.640,3.970
1,3:38,1,10,BAL 24,3,0,Ryan Tannehill pass complete short left to Marcus Thigpen for 5 yards (tackle by Daryl Smith),3.970,4.120
1,3:09,2,5,BAL 19,3,0,Daniel Thomas left guard for no gain (tackle by Chris Canty),4.120,3.410
1,2:24,3,5,BAL 19,3,0,Ryan Tannehill pass incomplete short middle intended for Mike Wallace,3.410,2.240
1,2:20,4,5,BAL 19,3,3,Caleb Sturgis 37 yard field goal good,2.240,3.000
1,,,,MIA 35,,,"Caleb Sturgis kicks off 70 yards, returned by Deonte Thompson for 47 yards (tackle by R.J. Stanford)",,
1,2:08,1,10,BAL 42,3,3,Ray Rice up the middle for 4 yards (tackle by Philip Wheeler),1.730,1.730
1,1:32,2,6,BAL 46,3,3,Joe Flacco pass complete short left to Ray Rice for 3 yards (tackle by Koa Misi),1.730,1.420
1,0:49,3,3,BAL 49,3,3,Joe Flacco pass incomplete short right intended for Deonte Thompson,1.420,-0.130
1,0:44,4,3,BAL 49,3,3,"Sam Koch punts 38 yards, out of bounds",-0.130,0.320
1,0:37,1,10,MIA 13,3,3,Lamar Miller right end for -1 yards (tackle by Daryl Smith),-0.320,-0.850
1,0:03,2,11,MIA 12,3,3,Ryan Tannehill pass incomplete short left intended for Brian Hartline,-0.850,-1.540
Quarter,Time,Down,ToGo,Location,BAL,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,11,MIA 12,3,3,Ryan Tannehill pass complete short right to Mike Wallace for 9 yards (tackle by Lardarius Webb),-1.540,-1.960
2,14:22,4,2,MIA 21,3,3,"Brandon Fields punts 52 yards, out of bounds",-1.960,-0.740
2,14:15,1,10,BAL 27,3,3,Ray Rice right tackle for 1 yard (tackle by Jared Odrick),0.740,0.330
2,13:40,2,9,BAL 28,3,3,Joe Flacco pass complete deep left to Ed Dickson for 43 yards (tackle by Chris Clemons),0.330,3.640
2,13:14,1,10,MIA 29,3,3,Ray Rice left guard for no gain (tackle by Jared Odrick),3.640,3.100
2,12:52,2,10,MIA 29,3,3,"Joe Flacco pass incomplete deep left intended for Torrey Smith. Penalty on Torrey Smith: Offensive Pass Interference, 10 yards (no play)",3.100,1.750
2,12:42,2,20,MIA 39,3,3,Joe Flacco pass complete short right to Ray Rice for 8 yards (tackle by Jelani Jenkins),1.750,2.150
2,12:03,3,12,MIA 31,3,3,Joe Flacco pass incomplete deep right intended for Tandon Doss,2.150,1.320
2,11:57,4,12,MIA 31,6,3,Justin Tucker 50 yard field goal good,1.320,3.000
2,11:57,,,BAL 35,6,3,"Justin Tucker kicks off 65 yards, touchback",0.000,-0.280
2,11:52,1,10,MIA 20,6,3,Lamar Miller left tackle for 5 yards (tackle by Arthur Jones),0.280,0.410
2,11:21,2,5,MIA 25,6,3,Ryan Tannehill pass complete short right to Mike Wallace for 11 yards,0.410,1.330
2,10:55,1,10,MIA 36,6,3,Lamar Miller right guard for 2 yards (tackle by Terrell Suggs),1.330,1.060
2,10:16,2,8,MIA 38,6,3,Ryan Tannehill pass complete deep right to Mike Wallace for 49 yards (tackle by Matt Elam),1.060,4.710
2,9:26,1,10,BAL 13,6,3,Ryan Tannehill pass complete short right to Charles Clay for -2 yards (tackle by Brandon Williams),4.710,3.760
2,8:47,2,12,BAL 15,6,3,Ryan Tannehill pass complete short right to Mike Wallace for 9 yards (tackle by Lardarius Webb),3.760,4.560
2,8:19,3,3,BAL 6,6,3,Ryan Tannehill pass incomplete short left intended for Brandon Gibson,4.560,3.010
2,8:11,4,3,BAL 6,6,6,Caleb Sturgis 25 yard field goal good,3.010,3.000
2,8:11,,,MIA 35,6,6,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
2,8:07,1,10,BAL 20,6,6,Bernard Pierce right tackle for 2 yards (tackle by Dion Jordan),0.280,0.000
2,7:28,2,8,BAL 22,6,6,Bernard Pierce left tackle for 5 yards (tackle by Paul Soliai),0.000,-0.030
2,6:57,3,3,BAL 27,6,6,Joe Flacco sacked by Olivier Vernon for -7 yards,-0.030,-2.030
2,6:15,4,10,BAL 20,6,6,"Sam Koch punts 53 yards, returned by Marcus Thigpen for 11 yards (tackle by Josh Bynes)",-2.030,-1.470
2,6:02,1,10,MIA 38,6,6,Daniel Thomas up the middle for 1 yard (tackle by Terrell Suggs),1.470,1.060
2,5:26,2,9,MIA 39,6,6,Ryan Tannehill pass complete short middle to Daniel Thomas for 3 yards (tackle by Daryl Smith),1.060,0.760
2,4:50,3,6,MIA 42,6,6,Ryan Tannehill sacked by Pernell McPhee for -6 yards,0.760,-0.980
2,4:18,4,12,MIA 36,6,6,"Brandon Fields punts 48 yards, out of bounds",-0.980,0.140
2,4:05,1,10,BAL 16,6,6,Ray Rice left guard for 4 yards (tackle by Paul Soliai),-0.140,0.010
2,3:33,2,6,BAL 20,6,6,Joe Flacco pass complete short middle to Torrey Smith for 16 yards (tackle by Brent Grimes),0.010,1.330
2,2:59,1,10,BAL 36,6,6,Ray Rice left guard for -2 yards (tackle by Koa Misi),1.330,0.520
2,2:11,2,12,BAL 34,6,6,Joe Flacco pass incomplete deep right intended for Deonte Thompson,0.520,-0.160
2,2:05,3,12,BAL 34,6,6,Joe Flacco pass incomplete deep left intended for Torrey Smith,-0.160,-1.110
2,2:01,4,12,BAL 34,6,6,"Sam Koch punts 26 yards, out of bounds",-1.110,-1.600
2,1:55,1,10,MIA 40,6,6,Ryan Tannehill pass complete short middle to Brandon Gibson for 5 yards (tackle by Daryl Smith),1.600,1.730
2,1:31,2,5,MIA 45,6,6,"Penalty on Jonathan Martin: False Start, 5 yards (no play)",1.730,1.050
2,1:21,2,10,MIA 40,6,6,Ryan Tannehill pass incomplete deep right intended for Mike Wallace (defended by Lardarius Webb),1.050,0.370
2,1:13,3,10,MIA 40,6,6,Ryan Tannehill pass complete short left to Brian Hartline for 30 yards (tackle by Matt Elam),0.370,0.370
2,1:02,3,10,MIA 40,6,6,Timeout #2 by Miami Dolphins,0.370,3.580
2,1:02,1,10,BAL 30,6,6,Ryan Tannehill pass complete deep left to Brian Hartline for 21 yards (tackle by Corey Graham),3.580,5.140
2,0:58,1,9,BAL 9,6,6,Ryan Tannehill pass incomplete short right intended for Mike Wallace,5.140,4.380
2,0:54,2,9,BAL 9,6,6,Ryan Tannehill pass incomplete short right intended for Mike Wallace,4.380,3.360
2,0:50,3,9,BAL 9,6,12,"Ryan Tannehill pass complete short left to Charles Clay for 9 yards, touchdown",3.360,7.000
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,0:50,,,BAL 2,6,13,Caleb Sturgis kicks extra point good,0.000,0.000
2,0:50,,,MIA 35,6,13,"Caleb Sturgis kicks off 66 yards, returned by Deonte Thompson for 35 yards (tackle by Caleb Sturgis). Penalty on Deonte Thompson: Face Mask (15 Yards), 15 yards",0.000,-0.150
2,0:38,1,10,BAL 19,6,13,Joe Flacco pass complete short middle to Ray Rice for 9 yards (tackle by Philip Wheeler),0.150,0.150
