Quarter,Time,Tm,Detail,KAN,GNB
1,7:14,Packers,Bubba Franks 1 yard pass from Brett Favre (Ryan Longwell kick),0,7
,2:39,Packers,Ahman Green 4 yard rush (Ryan Longwell kick),0,14
,0:36,Chiefs,Tony Gonzalez 26 yard pass from Trent Green (Morten Andersen kick),7,14
2,9:16,Chiefs,Johnnie Morton 10 yard pass from Trent Green (Morten Andersen kick),14,14
,2:14,Packers,Ahman Green 11 yard pass from Brett Favre (Ryan Longwell kick),14,21
3,10:47,Packers,Najeh Davenport 18 yard rush (Ryan Longwell kick),14,28
,6:01,Packers,Ryan Longwell 50 yard field goal,14,31
4,12:20,Chiefs,Priest Holmes 1 yard rush (Morten Andersen kick),21,31
,8:46,Chiefs,Jerome Woods 79 yard interception return (Morten Andersen kick),28,31
,5:41,Chiefs,Morten Andersen 34 yard field goal,31,31
,2:43,Packers,Ryan Longwell 41 yard field goal,31,34
,0:01,Chiefs,Morten Andersen 31 yard field goal,34,34
OT,8:42,Chiefs,Eddie Kennison 51 yard pass from Trent Green,40,34
