Unnamed: 0,KAN,GNB
First Downs,22,24
Rush-Yds-TDs,26-82-1,35-183-2
Cmp-Att-Yd-TD-INT,27-45-400-3-0,25-36-272-2-1
Sacked-Yards,0-0,3-15
Net Pass Yards,400,257
Total Yards,482,440
Fumbles-Lost,0-0,1-1
Turnovers,0,2
Penalties-Yards,5-40,3-25
Third Down Conv.,9-17,6-15
Fourth Down Conv.,0-0,1-1
Time of Possession,29:43,36:35
