Unnamed: 0,CAR,CLE
First Downs,22,12
Rush-Yds-TDs,25-96-2,21-116-2
Cmp-Att-Yd-TD-INT,27-43-298-0-1,18-23-238-1-0
Sacked-Yards,1-1,1-6
Net Pass Yards,297,232
Total Yards,393,348
Fumbles-Lost,0-0,3-2
Turnovers,1,2
Penalties-Yards,10-68,7-52
Third Down Conv.,5-14,4-9
Fourth Down Conv.,2-3,0-0
Time of Possession,33:50,26:10
