Quarter,Time,Down,ToGo,Location,CAR,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Greg Joseph kicks off 61 yards, returned by Kenjon Barner for no gain (tackle by Greg Joseph)",0.000,1.270
1,14:54,1,10,CAR 35,0,0,Christian McCaffrey left tackle for 5 yards (tackle by Myles Garrett),1.270,1.400
1,14:20,2,5,CAR 40,0,0,Cam Newton pass complete deep left to Curtis Samuel for 25 yards (tackle by T.J. Carrie),1.400,3.250
1,13:39,1,10,CLE 35,0,0,Christian McCaffrey left guard for 2 yards (tackle by Myles Garrett),3.250,2.970
1,13:06,2,8,CLE 33,0,0,Cam Newton pass complete short right to Christian McCaffrey for 4 yards (tackle by Damarious Randall),2.970,2.810
1,12:38,3,4,CLE 29,0,0,Cam Newton pass complete short middle to Ian Thomas for 4 yards (tackle by Damarious Randall),2.810,3.910
1,11:53,1,10,CLE 25,0,0,"Penalty on D.J. Moore: False Start, 5 yards (no play)",3.910,3.580
1,11:31,1,15,CLE 30,0,0,Christian McCaffrey left end for no gain (tackle by T.J. Carrie and Genard Avery),3.580,2.690
1,10:44,2,15,CLE 30,0,0,Cam Newton pass complete short left to Christian McCaffrey for 6 yards (tackle by Jamie Collins),2.690,2.810
1,10:07,3,9,CLE 24,0,0,Cam Newton pass complete short left to Christian McCaffrey for 20 yards (tackle by Jabrill Peppers),2.810,6.280
1,9:25,1,4,CLE 4,0,0,Cam Newton pass incomplete short left intended for D.J. Moore,6.280,5.340
1,9:21,2,4,CLE 4,6,0,"Christian McCaffrey left guard for 4 yards, touchdown",5.340,7.000
1,9:17,,,CLE 15,7,0,Chandler Catanzaro kicks extra point good,0.000,0.000
1,9:17,,,CAR 35,7,0,"Chandler Catanzaro kicks off 65 yards, touchback.",0.000,0.610
1,9:17,1,10,CLE 25,7,0,Baker Mayfield pass complete deep left to Breshad Perriman for 66 yards (tackle by Donte Jackson),0.610,5.140
1,8:29,1,9,CAR 9,7,0,Nick Chubb right guard for 3 yards (tackle by Eric Reid and James Bradberry),5.140,4.950
1,7:48,2,6,CAR 6,7,0,"Baker Mayfield pass incomplete short middle intended for Jarvis Landry. Penalty on Mario Addison: Defensive Offside, 3 yards (no play)",4.950,5.530
1,7:44,2,3,CAR 3,7,6,"Jarvis Landry right tackle for 3 yards, touchdown",5.530,7.000
1,7:41,,,CAR 15,7,7,Greg Joseph kicks extra point good,0.000,0.000
1,7:41,,,CLE 35,7,7,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,7:41,1,10,CAR 25,7,7,Christian McCaffrey left guard for -2 yards (tackle by Chris Smith and Trevon Coley),0.610,-0.210
1,7:03,2,12,CAR 23,7,7,Cam Newton pass complete short left to D.J. Moore for 11 yards (tackle by T.J. Carrie),-0.210,0.560
1,6:21,3,1,CAR 34,7,7,Cam Newton left tackle for 3 yards (tackle by Chris Smith),0.560,1.400
1,5:41,1,10,CAR 37,7,7,Cam Newton pass complete short middle to Jarius Wright for 6 yards (tackle by Jamie Collins),1.400,1.670
1,5:04,2,4,CAR 43,7,7,Cameron Artis-Payne left guard for 5 yards (tackle by Jamie Collins and Derrick Kindred),1.670,2.130
1,4:24,1,10,CAR 48,7,7,Cam Newton pass incomplete short right intended for Curtis Samuel,2.130,1.580
1,4:19,2,10,CAR 48,7,7,Christian McCaffrey left guard for -1 yards (tackle by Jamie Collins),1.580,0.760
1,3:53,3,11,CAR 47,7,7,"Cam Newton pass complete short right to Christian McCaffrey for 8 yards (tackle by Jamie Collins). Penalty on Ian Thomas: Illegal Block Above the Waist, 10 yards (no play)",0.760,-0.560
1,3:29,3,21,CAR 37,7,7,Cam Newton pass complete short middle to Ian Thomas for 12 yards (tackle by Damarious Randall),-0.560,-0.130
1,2:46,4,9,CAR 49,7,7,Michael Palardy punts 37 yards out of bounds,-0.130,0.280
1,2:40,1,10,CLE 14,7,7,Nick Chubb right guard for 3 yards (tackle by Eric Reid and Luke Kuechly),-0.280,-0.370
1,2:03,2,7,CLE 17,7,7,"Baker Mayfield pass complete deep right to Jarvis Landry for 18 yards (tackle by Eric Reid). Penalty on Joel Bitonio: Ineligible Downfield Pass, 5 yards (no play)",-0.370,-0.930
1,1:39,2,12,CLE 12,7,7,"Baker Mayfield pass complete short left to Rashard Higgins for 4 yards (tackle by Luke Kuechly). Rashard Higgins fumbles (forced by Luke Kuechly), recovered by Thomas Davis at CLE-17",-0.930,-4.440
1,1:31,1,10,CLE 17,7,7,Christian McCaffrey right guard for 7 yards (tackle by Joe Schobert),4.440,5.100
1,0:54,2,3,CLE 10,7,7,Cam Newton right end for 2 yards (tackle by Jamie Collins),5.100,4.800
1,0:18,3,1,CLE 8,7,7,Cam Newton pass complete short right to Ian Thomas for 7 yards (tackle by Tanner Vallejo),4.800,6.970
Quarter,Time,Down,ToGo,Location,CAR,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,1,CLE 1,7,7,Alex Armah right guard for no gain (tackle by Larry Ogunjobi and Emmanuel Ogbah),6.970,5.910
2,14:16,,,,,,Timeout #1 by Carolina Panthers,,
2,14:16,2,1,CLE 1,13,7,"Christian McCaffrey right guard for 1 yard, touchdown",5.910,7.000
2,14:13,,,CLE 15,14,7,"Chandler Catanzaro kicks extra point good. Penalty on Emmanuel Ogbah: Illegal Formation, 5 yards",0.000,0.000
2,14:13,,,CAR 40,14,7,"Chandler Catanzaro kicks off 60 yards, touchback.",0.000,0.610
2,14:12,1,10,CLE 25,14,7,Nick Chubb left tackle for no gain (tackle by Kawann Short),0.610,0.060
2,13:32,2,10,CLE 25,14,7,Baker Mayfield pass complete short right to Jarvis Landry for 9 yards,0.060,0.560
2,12:55,3,1,CLE 34,14,7,Nick Chubb right guard for 2 yards (tackle by Dontari Poe),0.560,1.330
2,12:12,1,10,CLE 36,14,7,Nick Chubb left end for no gain (tackle by Wes Horton). Penalty on Captain Munnerlyn: Taunting (Offsetting) (no play),1.330,1.330
2,11:55,1,10,CLE 36,14,7,Nick Chubb left tackle for 7 yards (tackle by Luke Kuechly and Donte Jackson),1.330,1.740
2,11:15,2,3,CLE 43,14,7,Nick Chubb left guard for 13 yards (tackle by Thomas Davis and Donte Jackson),1.740,2.650
2,10:35,1,10,CAR 44,14,7,"Baker Mayfield pass complete short left to Darren Fells for 1 yard (tackle by Kyle Love). Penalty on Greg Robinson: Offensive Holding, 10 yards (no play)",2.650,1.990
2,9:54,1,20,CLE 46,14,7,Baker Mayfield pass complete short right to David Njoku for no gain (tackle by James Bradberry),1.990,0.760
2,9:12,2,20,CLE 46,14,7,Baker Mayfield pass complete short left to Nick Chubb for 3 yards (tackle by Donte Jackson),0.760,0.500
2,8:35,3,17,CLE 49,14,13,"Baker Mayfield pass complete deep left to Jarvis Landry for 51 yards, touchdown",0.500,7.000
2,8:27,,,CAR 15,14,14,Greg Joseph kicks extra point good,0.000,0.000
2,8:27,,,CLE 35,14,14,"Greg Joseph kicks off 66 yards, returned by Kenjon Barner for no gain (tackle by Tanner Vallejo). Penalty on David Mayo: Offensive Holding (Offsetting)",0.000,0.040
2,8:22,1,10,CAR 18,14,14,Cam Newton pass complete short middle to D.J. Moore for 40 yards (tackle by Damarious Randall and Terrance Mitchell),0.040,2.790
2,7:48,1,10,CLE 42,14,14,Jarius Wright left end for 5 yards (tackle by Damarious Randall),2.790,2.920
2,7:20,2,5,CLE 37,14,14,Cam Newton pass complete short middle to Ian Thomas for 7 yards (tackle by Joe Schobert),2.920,3.580
2,6:43,1,10,CLE 30,14,14,Cam Newton pass complete short right to Ian Thomas for 12 yards (tackle by Derrick Kindred),3.580,4.370
2,6:00,1,10,CLE 18,14,14,Christian McCaffrey right guard for 5 yards (tackle by Joe Schobert),4.370,4.610
2,5:20,2,5,CLE 13,14,14,"Penalty on Chris Clark: False Start, 5 yards (no play)",4.610,3.800
2,5:00,2,10,CLE 18,14,14,Cam Newton pass incomplete short right intended for Ian Thomas,3.800,3.050
2,4:56,3,10,CLE 18,14,14,Cam Newton pass complete short left to D.J. Moore for 6 yards (tackle by T.J. Carrie),3.050,2.710
2,4:07,4,4,CLE 12,17,14,Chandler Catanzaro 30 yard field goal good,2.710,3.000
2,4:03,,,CAR 35,17,14,"Chandler Catanzaro kicks off 65 yards, touchback.",0.000,0.610
2,4:03,1,10,CLE 25,17,14,Baker Mayfield pass complete deep left to David Njoku for 28 yards (tackle by Thomas Davis),0.610,2.460
2,3:20,1,10,CAR 47,17,14,Nick Chubb left guard for 1 yard (tackle by Eric Reid),2.460,2.050
2,2:37,2,9,CAR 46,17,14,Baker Mayfield pass incomplete short middle intended for Nick Chubb,2.050,1.350
2,2:33,3,9,CAR 46,17,14,Baker Mayfield pass complete deep left to Rashard Higgins for 15 yards (tackle by Donte Jackson),1.350,3.510
2,2:00,1,10,CAR 31,17,14,Jarvis Landry pass incomplete deep left intended for Nick Chubb (defended by Donte Jackson),3.510,2.970
2,1:52,2,10,CAR 31,17,14,Duke Johnson right guard for no gain (tackle by Mike Adams and Luke Kuechly),2.970,2.280
2,1:07,3,10,CAR 31,17,14,Baker Mayfield pass incomplete deep right intended for Rashard Higgins,2.280,1.320
2,1:03,4,10,CAR 31,17,17,Greg Joseph 49 yard field goal good,1.320,3.000
2,0:59,,,CLE 35,17,17,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
