Unnamed: 0,DEN,OAK
First Downs,9,20
Rush-Yds-TDs,33-106-1,41-264-3
Cmp-Att-Yd-TD-INT,8-16-138-1-0,15-26-238-1-2
Sacked-Yards,2-9,0-0
Net Pass Yards,129,238
Total Yards,235,502
Fumbles-Lost,2-1,1-1
Turnovers,1,3
Penalties-Yards,10-93,9-84
Third Down Conv.,2-12,2-11
Fourth Down Conv.,0-0,1-1
Time of Possession,26:03,33:57
