Quarter,Time,Tm,Detail,DEN,OAK
1.0,13:14,Raiders,Jacoby Ford 71 yard rush (Sebastian Janikowski kick),0,7
,9:40,Broncos,Tim Tebow 40 yard rush (Stephen Hauschka kick),7,7
,7:38,Broncos,Brandon Lloyd 33 yard pass from Tim Tebow (Stephen Hauschka kick),14,7
,3:20,Raiders,Michael Bush 1 yard rush (Sebastian Janikowski kick),14,14
2.0,14:09,Broncos,Stephen Hauschka 46 yard field goal,17,14
,1:02,Raiders,Sebastian Janikowski 49 yard field goal,17,17
3.0,7:27,Raiders,Sebastian Janikowski 35 yard field goal,17,20
,5:03,Broncos,Stephen Hauschka 35 yard field goal,20,20
,1:29,Raiders,Sebastian Janikowski 47 yard field goal,20,23
4.0,14:32,Raiders,Marcel Reece 73 yard pass from Jason Campbell (Sebastian Janikowski kick),20,30
,10:04,Broncos,Stephen Hauschka 45 yard field goal,23,30
,7:37,Raiders,"Safety, Correll Buckhalter tackled by Quentin Groves in the end zone for a safety.",23,32
,3:37,Raiders,Michael Bush 1 yard rush (Sebastian Janikowski kick),23,39
