Quarter,Time,Down,ToGo,Location,JAX,BAL,Detail,EPB,EPA
2,12:24,,,,7,3,Timeout #1 by Baltimore Ravens,0.000,3.520
2,12:24,3,6,JAX 16,7,3,Joe Flacco pass complete short right to Derrick Mason for 11 yards (tackle by Brian Witherspoon),3.520,6.060
2,11:40,1,5,JAX 5,7,3,Le'Ron McClain left guard for no gain (tackle by Justin Durant),6.060,5.150
2,11:04,2,5,JAX 5,7,9,"Le'Ron McClain left guard for 5 yards, touchdown",5.150,7.000
2,,,,JAX 2,7,10,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 30,7,10,"Steven Hauschka kicks off 68 yards, returned by Brian Witherspoon for 19 yards (tackle by Daren Stone)",0.000,-0.340
2,10:58,1,10,JAX 21,7,10,Maurice Jones-Drew left end for 1 yard (tackle by Jarret Johnson),0.340,-0.070
2,10:12,2,9,JAX 22,7,10,Maurice Jones-Drew right end for -2 yards (tackle by Jarret Johnson),-0.070,-1.020
2,9:28,3,11,JAX 20,7,10,David Garrard pass incomplete short right intended for Mike Sims-Walker,-1.020,-2.030
2,9:21,4,11,JAX 20,7,10,Steve Weatherford punts 57 yards,-2.030,-0.480
2,9:12,1,10,BAL 23,7,10,Joe Flacco pass complete deep left to Derrick Mason for 39 yards (tackle by Gerald Sensabaugh). Penalty on Drayton Florence: Illegal Contact (Declined),0.480,3.050
2,8:51,1,10,JAX 38,7,10,Le'Ron McClain right tackle for 3 yards (tackle by Mike Peterson and Clint Ingram),3.050,2.910
2,8:15,2,7,JAX 35,7,10,Joe Flacco pass complete short right to Derrick Mason for 16 yards (tackle by Drayton Florence),2.910,4.310
2,7:41,1,10,JAX 19,7,10,Le'Ron McClain right guard for no gain (tackle by John Henderson and Mike Peterson),4.310,3.750
2,7:05,2,10,JAX 19,7,10,Le'Ron McClain right guard for 2 yards (tackle by Rob Meier and John Henderson),3.750,3.260
2,6:30,3,8,JAX 17,7,10,Joe Flacco pass complete short right to Mark Clayton for 8 yards (tackle by Brian Witherspoon),3.260,5.140
2,5:53,1,9,JAX 9,7,10,Le'Ron McClain up the middle for 1 yard (tackle by John Henderson and Rob Meier),5.140,4.570
2,5:09,2,8,JAX 8,7,10,"Penalty on Todd Heap: False Start, 5 yards (no play)",4.570,3.720
2,4:58,2,13,JAX 13,7,16,"Willis McGahee left guard for 13 yards, touchdown",3.720,7.000
2,,,,JAX 2,7,17,Matt Stover kicks extra point good,0.000,0.000
2,,,,BAL 30,7,17,"Steven Hauschka kicks off 79 yards, touchback",0.000,-0.280
2,4:52,1,10,JAX 20,7,17,"David Garrard pass complete short left to Reggie Williams for -2 yards (tackle by Ed Reed). Penalty on Terrell Suggs: Roughing the Passer, 15 yards (no play)",0.280,1.270
2,4:27,1,10,JAX 35,7,17,Maurice Jones-Drew left tackle for 23 yards (tackle by Samari Rolle),1.270,2.790
2,3:53,1,10,BAL 42,7,17,David Garrard up the middle for 22 yards (tackle by Jim Leonhard),2.790,4.240
2,3:04,1,10,BAL 20,7,17,David Garrard pass incomplete deep middle intended for Reggie Williams (defended by Frank Walker),4.240,3.690
2,2:57,2,10,BAL 20,7,17,Maurice Jones-Drew left tackle for 1 yard (tackle by Terrell Suggs),3.690,3.100
2,2:14,3,9,BAL 19,7,17,David Garrard pass incomplete short middle intended for Reggie Williams is intercepted by Ed Reed at BAL-15 and returned for 7 yards,3.100,-0.870
