Unnamed: 0,JAX,BAL
First Downs,14,20
Rush-Yds-TDs,27-118-0,34-127-3
Cmp-Att-Yd-TD-INT,14-25-127-1-2,18-25-322-0-0
Sacked-Yards,1-0,3-18
Net Pass Yards,127,304
Total Yards,245,431
Fumbles-Lost,3-2,1-0
Turnovers,4,0
Penalties-Yards,7-28,7-55
Third Down Conv.,6-12,6-14
Fourth Down Conv.,0-1,0-0
Time of Possession,27:58,32:02
