Unnamed: 0,SDG,BUF
First Downs,20,18
Rush-Yds-TDs,36-83-0,22-87-0
Cmp-Att-Yd-TD-INT,18-25-256-2-0,23-40-238-1-0
Sacked-Yards,2-6,3-33
Net Pass Yards,250,205
Total Yards,333,292
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,6-44,11-110
Third Down Conv.,5-13,6-14
Fourth Down Conv.,0-0,0-2
Time of Possession,31:34,28:26
