Unnamed: 0,SFO,MIN
First Downs,13,19
Rush-Yds-TDs,26-58-0,27-94-0
Cmp-Att-Yd-TD-INT,15-25-195-2-1,24-46-301-2-1
Sacked-Yards,1-7,2-18
Net Pass Yards,188,283
Total Yards,246,377
Fumbles-Lost,1-0,1-0
Turnovers,1,1
Penalties-Yards,7-60,9-52
Third Down Conv.,0-11,10-20
Fourth Down Conv.,1-1,0-1
Time of Possession,27:51,32:09
