Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,DET 20,0,0,Matthew Stafford pass complete short right to Golden Tate for 24 yards (tackle by Dont'a Hightower),0.280,1.860
1,14:30,1,10,DET 44,0,0,Joique Bell up the middle for 5 yards (tackle by Chris Jones),1.860,1.990
1,13:52,2,5,DET 49,0,0,Matthew Stafford pass incomplete,1.990,1.290
1,13:46,3,5,DET 49,0,0,Matthew Stafford pass complete short left to Golden Tate for 17 yards (tackle by Darrelle Revis),1.290,3.310
1,13:17,1,10,NWE 34,0,0,Joique Bell up the middle for 3 yards (tackle by Dont'a Hightower),3.310,3.180
1,12:39,2,7,NWE 31,0,0,Joique Bell up the middle for 1 yard (tackle by Patrick Chung and Dont'a Hightower),3.180,2.610
1,11:54,3,6,NWE 30,0,0,Matthew Stafford pass incomplete short left intended for Golden Tate (defended by Darrelle Revis),2.610,1.430
1,11:49,4,6,NWE 30,3,0,Matt Prater 48 yard field goal good,1.430,3.000
1,11:49,,,DET 35,3,0,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
1,11:44,1,10,NWE 20,3,0,Tom Brady pass complete short right to Brandon LaFell for 7 yards (tackle by Darius Slay and DeAndre Levy),0.280,0.680
1,11:15,2,3,NWE 27,3,0,Tom Brady pass complete short left to Julian Edelman for no gain,0.680,-0.030
1,10:50,3,3,NWE 27,3,0,"Tom Brady pass complete short right to Rob Gronkowski for 5 yards. Penalty on Sebastian Vollmer: Illegal Use of Hands, 10 yards (no play)",-0.030,-1.510
1,10:20,3,13,NWE 17,3,0,Tom Brady pass incomplete deep middle intended for Danny Amendola,-1.510,-2.320
1,10:15,4,13,NWE 17,3,0,"Ryan Allen punts 42 yards, returned by Jeremy Ross for 4 yards (tackle by Matt Slater)",-2.320,-1.930
1,10:05,1,10,DET 45,3,0,Matthew Stafford pass incomplete short right intended for Calvin Johnson,1.930,1.380
1,10:00,2,10,DET 45,3,0,Joique Bell left end for 3 yards (tackle by Brandon Browner),1.380,1.090
1,9:27,3,7,DET 48,3,0,Matthew Stafford sacked by Akeem Ayers for -11 yards,1.090,-0.910
1,8:51,4,18,DET 37,3,0,"Sam Martin punts 53 yards, returned by Danny Amendola for 4 yards (tackle by Tahir Whitehead)",-0.910,0.280
1,8:42,1,10,NWE 14,3,0,Shane Vereen up the middle for -5 yards (tackle by Ndamukong Suh),-0.280,-1.150
1,8:19,2,15,NWE 9,3,0,Tom Brady pass incomplete short right intended for Rob Gronkowski,-1.150,-2.010
1,8:15,3,15,NWE 9,3,0,Tom Brady pass complete short left to Shane Vereen for 5 yards (tackle by Ezekiel Ansah),-2.010,-2.470
1,7:39,4,10,NWE 14,3,0,"Danny Aiken fumbles, recovered by Danny Aiken at NWE-NE. Ryan Allen punts 66 yards, returned by Jeremy Ross for 1 yard (tackle by Nate Ebner)",-2.470,-0.340
1,7:27,1,10,DET 21,3,0,Matthew Stafford sacked by Rob Ninkovich for -9 yards,0.340,-1.440
1,6:46,2,19,DET 12,3,0,Joique Bell left tackle for 3 yards (tackle by Dont'a Hightower),-1.440,-1.960
1,6:03,3,16,DET 15,3,0,Matthew Stafford pass incomplete short left intended for Calvin Johnson,-1.960,-2.440
1,5:57,4,16,DET 15,3,0,"Sam Martin punts 55 yards, returned by Julian Edelman for 6 yards (tackle by Tahir Whitehead)",-2.440,-1.330
1,5:47,1,10,NWE 36,3,0,Tom Brady pass complete deep middle to Brandon LaFell for 15 yards (tackle by Isa Abdul-Quddus),1.330,2.320
1,5:16,1,10,DET 49,3,0,Tom Brady pass incomplete short left intended for Shane Vereen,2.320,1.780
1,5:13,2,10,DET 49,3,0,Tom Brady pass complete short left to Julian Edelman for 5 yards (tackle by Rashean Mathis),1.780,1.750
1,4:56,3,5,DET 44,3,0,Tom Brady pass complete short right to Julian Edelman for 10 yards (tackle by Glover Quin),1.750,3.310
1,4:27,1,10,DET 34,3,0,Tom Brady pass complete short left to Brandon LaFell for 12 yards (tackle by Rashean Mathis),3.310,4.110
1,4:00,1,10,DET 22,3,0,Tom Brady pass complete short middle to Julian Edelman for 14 yards (tackle by James Ihedigbo),4.110,5.370
1,3:38,1,8,DET 8,3,0,Shane Vereen right guard for 4 yards (tackle by Josh Bynes),5.370,5.340
1,3:17,2,4,DET 4,3,0,Tom Brady pass incomplete short middle intended for Julian Edelman,5.340,4.490
1,3:13,3,4,DET 4,3,6,"Tom Brady pass complete short middle to Tim Wright for 4 yards, touchdown",4.490,7.000
1,3:13,,,DET 2,3,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,3:13,,,NWE 35,3,7,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,3:10,1,10,DET 20,3,7,Joique Bell right guard for 6 yards (tackle by Jamie Collins and Dont'a Hightower),0.280,0.540
1,2:29,2,4,DET 26,3,7,Joique Bell right tackle for 5 yards (tackle by Jamie Collins),0.540,1.000
1,1:50,1,10,DET 31,3,7,Joique Bell up the middle for 4 yards (tackle by Kyle Arrington),1.000,1.000
1,1:11,2,6,DET 35,3,7,Joique Bell left guard for no gain (tackle by Vince Wilfork),1.000,0.300
1,0:30,3,6,DET 35,3,7,Matthew Stafford pass complete deep left to Calvin Johnson for 16 yards (tackle by Devin McCourty),0.300,2.320
Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 49,3,7,Matthew Stafford pass complete deep middle to Golden Tate for 42 yards (tackle by Devin McCourty),2.320,5.600
