Unnamed: 0,DET,NWE
First Downs,21,29
Rush-Yds-TDs,25-91-0,20-90-2
Cmp-Att-Yd-TD-INT,18-46-264-0-1,38-53-349-2-1
Sacked-Yards,2-20,0-0
Net Pass Yards,244,349
Total Yards,335,439
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,9-54,11-89
Third Down Conv.,5-17,6-14
Fourth Down Conv.,2-3,1-1
Time of Possession,30:11,29:49
