Quarter,Time,Tm,Detail,IND,SFO
1.0,7:41,Colts,Dominic Rhodes 6 yard rush (Mike Vanderjagt kick),7,0
2.0,6:29,Colts,Cato June 24 yard interception return (Mike Vanderjagt kick),14,0
3.0,9:41,49ers,Joe Nedney 30 yard field goal,14,3
4.0,14:55,Colts,Edgerrin James 4 yard rush (Mike Vanderjagt kick),21,3
,5:58,Colts,Troy Walters 18 yard pass from Peyton Manning (Mike Vanderjagt kick),28,3
