Unnamed: 0,IND,SFO
First Downs,22,12
Rush-Yds-TDs,28-120-2,28-133-0
Cmp-Att-Yd-TD-INT,23-31-255-1-2,9-23-74-0-4
Sacked-Yards,1-10,5-30
Net Pass Yards,245,44
Total Yards,365,177
Fumbles-Lost,1-1,2-1
Turnovers,3,5
Penalties-Yards,10-80,7-40
Third Down Conv.,6-10,3-14
Fourth Down Conv.,1-1,1-1
Time of Possession,30:52,29:08
