Unnamed: 0,TEN,JAX
First Downs,21,12
Rush-Yds-TDs,26-91-1,20-88-0
Cmp-Att-Yd-TD-INT,23-40-304-0-0,20-30-204-2-0
Sacked-Yards,9-55,0-0
Net Pass Yards,249,204
Total Yards,340,292
Fumbles-Lost,3-1,0-0
Turnovers,1,0
Penalties-Yards,9-101,4-30
Third Down Conv.,8-17,2-11
Fourth Down Conv.,0-1,0-1
Time of Possession,35:16,24:44
