Quarter,Time,Tm,Detail,TEN,JAX
1.0,13:02,Jaguars,James O'Shaughnessy 7 yard pass from Gardner Minshew II (Josh Lambo kick),0,7
,6:36,Jaguars,DJ Chark 22 yard pass from Gardner Minshew II (Josh Lambo kick),0,14
3.0,7:54,Jaguars,Josh Lambo 40 yard field goal,0,17
4.0,12:04,Titans,Derrick Henry 1 yard rush (Cairo Santos kick),7,17
,7:34,Jaguars,Josh Lambo 48 yard field goal,7,20
