Quarter,Time,Tm,Detail,GNB,CIN
1,1:15,Bengals,Samaje Perine 4 yard pass from Joe Burrow (Evan McPherson kick),0,7
2,11:49,Packers,AJ Dillon 12 yard pass from Aaron Rodgers (Mason Crosby kick failed),6,7
,7:24,Packers,Mason Crosby 44 yard field goal,9,7
,1:07,Packers,Davante Adams 5 yard pass from Aaron Rodgers (Mason Crosby kick),16,7
,0:36,Bengals,Ja'Marr Chase 70 yard pass from Joe Burrow (Evan McPherson kick),16,14
3,5:45,Packers,Mason Crosby 44 yard field goal,19,14
4,11:20,Packers,Mason Crosby 22 yard field goal,22,14
,3:27,Bengals,Joe Mixon 8 yard rush (Tee Higgins pass from Joe Burrow),22,22
OT,1:55,Packers,Mason Crosby 49 yard field goal,25,22
