Quarter,Time,Down,ToGo,Location,GNB,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Packers to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 65 yards, touchback.",,
1,15:00,1,10,GNB 25,0,0,Aaron Jones right end for 14 yards (tackle by Vonn Bell),,
1,14:20,1,10,GNB 39,0,0,Aaron Rodgers pass complete short middle to Kylin Hill for 5 yards (tackle by Chidobe Awuzie and D.J. Reader),,
1,13:43,2,5,GNB 44,0,0,Aaron Jones up the middle for 11 yards (tackle by Jessie Bates),,
1,13:02,1,10,CIN 45,0,0,Aaron Jones right guard for 3 yards (tackle by Logan Wilson),,
1,12:23,2,7,CIN 42,0,0,Aaron Rodgers pass incomplete short right,,
1,12:18,3,7,CIN 42,0,0,Aaron Rodgers pass incomplete deep right intended for Aaron Jones,,
1,12:08,4,7,CIN 42,0,0,"Corey Bojorquez punts 36 yards, returned by Darius Phillips for 2 yards (tackle by Isaac Yiadom)",,
1,11:58,1,10,CIN 8,0,0,Joe Burrow pass complete short right to Tee Higgins for 2 yards (tackle by Kevin King),,
1,11:29,2,8,CIN 10,0,0,Joe Burrow pass complete short middle to Ja'Marr Chase for 7 yards (tackle by Adrian Amos),,
1,10:44,3,1,CIN 17,0,0,Joe Burrow up the middle for no gain (tackle by Kenny Clark),,
1,9:51,4,1,CIN 17,0,0,"Kevin Huber punts 46 yards, returned by Amari Rodgers for 1 yard (tackle by Logan Wilson)",,
1,9:39,1,10,GNB 38,0,0,Aaron Rodgers pass complete short middle to Randall Cobb for 15 yards (tackle by Mike Hilton),,
1,9:04,1,10,CIN 47,0,0,Aaron Rodgers pass deep right intended for Davante Adams is intercepted by Chidobe Awuzie at CIN-16 and returned for 42 yards (tackle by Allen Lazard),,
1,8:48,1,10,GNB 42,0,0,Joe Burrow pass incomplete short left intended for Drew Sample (defended by Dean Lowry),,
1,8:42,2,10,GNB 42,0,0,Joe Burrow sacked by Krys Barnes for -8 yards,,
1,8:02,3,18,CIN 50,0,0,Joe Burrow pass complete short right to C.J. Uzomah for 9 yards (tackle by Chandon Sullivan and Kevin King),,
1,7:19,4,9,GNB 41,0,0,"Kevin Huber punts 41 yards, touchback.",,
1,7:09,1,10,GNB 20,0,0,Aaron Jones right tackle for no gain (tackle by D.J. Reader),,
1,6:31,2,10,GNB 20,0,0,Aaron Rodgers pass incomplete short right intended for Davante Adams,,
1,6:27,3,10,GNB 20,0,0,Aaron Rodgers pass incomplete deep left intended for Robert Tonyan,,
1,6:19,4,10,GNB 20,0,0,Corey Bojorquez punts 31 yards out of bounds,,
1,6:13,1,10,CIN 49,0,0,Samaje Perine right tackle for 7 yards (tackle by Darnell Savage and Kenny Clark),,
1,5:40,2,3,GNB 44,0,0,Joe Burrow pass incomplete short right intended for Ja'Marr Chase,,
1,5:35,3,3,GNB 44,0,0,Joe Burrow pass incomplete deep right intended for Ja'Marr Chase (defended by Eric Stokes),,
1,5:28,4,3,GNB 44,0,0,Joe Burrow pass complete short right to Samaje Perine for 5 yards (tackle by Adrian Amos),,
1,4:48,1,10,GNB 39,0,0,Joe Mixon left tackle for 10 yards (tackle by Darnell Savage),,
1,4:14,1,10,GNB 29,0,0,Joe Burrow pass complete short left to Drew Sample for 6 yards (tackle by De'Vondre Campbell),,
1,3:27,2,4,GNB 23,0,0,Joe Burrow pass complete short middle to C.J. Uzomah for 7 yards (tackle by Krys Barnes and Tedarrell Slaton),,
1,2:49,1,10,GNB 16,0,0,Joe Burrow pass complete short right to Joe Mixon for 2 yards (tackle by Eric Stokes),,
1,2:09,2,8,GNB 14,0,0,Joe Burrow pass complete short middle to Samaje Perine for 10 yards (tackle by Eric Stokes and Adrian Amos),,
1,1:21,1,4,GNB 4,0,6,"Joe Burrow pass complete to Samaje Perine for 4 yards, touchdown",,
1,1:15,,,GNB 15,0,7,Evan McPherson kicks extra point good,,
1,1:15,,,CIN 35,0,7,"Evan McPherson kicks off 65 yards, touchback.",,
1,1:15,1,10,GNB 25,0,7,Aaron Rodgers pass complete deep middle to Davante Adams for 17 yards (tackle by Jessie Bates),,
1,0:42,1,10,GNB 42,0,7,AJ Dillon right tackle for 2 yards (tackle by Germaine Pratt and Logan Wilson),,
Quarter,Time,Down,ToGo,Location,GNB,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,GNB 44,0,7,Aaron Rodgers pass complete short left to Aaron Jones for -4 yards (tackle by Mike Hilton),,
2,14:18,3,12,GNB 40,0,7,Aaron Rodgers pass complete deep middle to Davante Adams for 34 yards (tackle by Vonn Bell),,
2,13:30,1,10,CIN 26,0,7,Aaron Rodgers pass complete short right to Marcedes Lewis for 14 yards (tackle by Jessie Bates),,
2,12:43,1,10,CIN 12,0,7,Aaron Rodgers pass complete short left to AJ Dillon for no gain (tackle by Germaine Pratt and D.J. Reader),,
2,11:56,2,10,CIN 12,6,7,"Aaron Rodgers pass complete short left to AJ Dillon for 12 yards, touchdown",,
2,11:49,,,CIN 15,6,7,Mason Crosby kicks extra point no good,,
2,11:49,,,GNB 35,6,7,"Mason Crosby kicks off 65 yards, touchback.",,
2,11:49,1,10,CIN 25,6,7,Joe Burrow pass complete short left to Tee Higgins for 7 yards (tackle by De'Vondre Campbell),,
2,11:15,2,3,CIN 32,6,7,Joe Mixon right tackle for -1 yards (tackle by Kenny Clark and Rashan Gary),,
2,10:30,3,4,CIN 31,6,7,Joe Burrow sacked by Preston Smith for -7 yards,,
2,9:54,4,11,CIN 24,6,7,Kevin Huber punts 40 yards out of bounds,,
2,9:44,1,10,GNB 38,6,7,Aaron Rodgers pass complete short left to AJ Dillon for 13 yards (tackle by Germaine Pratt),,
2,8:54,1,10,CIN 49,6,7,Aaron Rodgers pass complete short right to Davante Adams for 24 yards (tackle by Logan Wilson),,
2,8:30,1,10,CIN 25,6,7,Aaron Rodgers pass incomplete,,
2,8:20,2,10,CIN 25,6,7,Aaron Rodgers pass complete to Allen Lazard for -1 yards (tackle by Chidobe Awuzie),,
2,7:35,,,,,,Timeout #1 by Green Bay Packers,,
2,7:35,3,11,CIN 26,6,7,Aaron Rodgers pass incomplete deep left intended for Davante Adams,,
2,7:28,4,11,CIN 26,9,7,Mason Crosby 44 yard field goal good,,
2,7:24,,,GNB 35,9,7,"Mason Crosby kicks off 69 yards, returned by Brandon Wilson for 44 yards (tackle by Henry Black and Equanimeous St. Brown)",,
2,7:17,1,10,CIN 40,9,7,Joe Burrow sacked by and Dean Lowry for -2 yards and Tedarrell Slaton for -2 yards,,
2,6:33,2,12,CIN 38,9,7,Joe Burrow pass incomplete short middle intended for Ja'Marr Chase (defended by Dean Lowry),,
2,6:30,3,12,CIN 38,9,7,Joe Burrow scrambles left end for 9 yards (tackle by Darnell Savage),,
2,6:13,4,3,CIN 47,9,7,"Kevin Huber punts 42 yards, returned by Amari Rodgers for 8 yards (tackle by Stanley Morgan)",,
2,5:55,1,10,GNB 19,9,7,Aaron Jones right tackle for 1 yard (tackle by Josh Tupou and Cameron Sample),,
2,5:18,2,9,GNB 20,9,7,Aaron Rodgers pass complete short right to Aaron Jones for 3 yards (tackle by Chidobe Awuzie),,
2,4:42,3,6,GNB 23,9,7,Aaron Rodgers pass complete short middle to Davante Adams for 15 yards (tackle by Chidobe Awuzie and Akeem Davis-Gaither),,
2,4:04,1,10,GNB 38,9,7,AJ Dillon left guard for 3 yards (tackle by Sam Hubbard and B.J. Hill),,
2,3:27,2,7,GNB 41,9,7,Aaron Rodgers pass complete short left to AJ Dillon for 24 yards (tackle by Vonn Bell and Trey Hendrickson),,
2,2:33,1,10,CIN 35,9,7,"Penalty on Robert Tonyan: False Start, 5 yards (accepted) (no play)",,
2,2:15,1,15,CIN 40,9,7,Aaron Rodgers pass complete short left to Aaron Jones for 5 yards (tackle by Vonn Bell),,
2,2:00,2,10,CIN 35,9,7,Aaron Rodgers pass complete deep left to Davante Adams for 22 yards (tackle by Eli Apple),,
2,1:16,1,10,CIN 13,9,7,Aaron Jones up the middle for 8 yards (tackle by Jessie Bates),,
2,1:09,,,,,,Timeout #1 by Cincinnati Bengals,,
2,1:09,2,2,CIN 5,15,7,"Aaron Rodgers pass complete short left to Davante Adams for 5 yards, touchdown",,
2,1:07,,,CIN 15,16,7,Mason Crosby kicks extra point good,,
2,1:07,,,GNB 35,16,7,"Mason Crosby kicks off 65 yards, touchback.",,
2,1:07,1,10,CIN 25,16,7,Joe Burrow pass complete short right to Tee Higgins for 5 yards (tackle by Kevin King),,
2,0:51,2,5,CIN 30,16,13,"Joe Burrow pass complete deep right to Ja'Marr Chase for 70 yards, touchdown",,
2,0:36,,,GNB 15,16,14,Evan McPherson kicks extra point good,,
2,0:36,,,CIN 35,16,14,"Evan McPherson kicks off 56 yards, returned by Kylin Hill for 16 yards (tackle by Akeem Davis-Gaither)",,
2,0:32,1,10,GNB 25,16,14,Aaron Rodgers sacked by Trey Hendrickson for -6 yards,,
2,0:02,2,16,GNB 19,16,14,"Penalty on Yosuah Nijman: False Start, 5 yards (accepted) (no play)",,
Quarter,Time,Down,ToGo,Location,GNB,CIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 35,16,14,"Mason Crosby kicks off 64 yards, returned by Brandon Wilson for 22 yards (tackle by Tyler Davis)",,
3,14:55,1,10,CIN 23,16,14,Samaje Perine left guard for 4 yards (tackle by Rashan Gary and De'Vondre Campbell),,
3,14:17,2,6,CIN 27,16,14,Joe Burrow pass complete short right to Ja'Marr Chase for 28 yards (tackle by Adrian Amos and Oren Burks),,
3,13:45,1,10,GNB 45,16,14,Joe Burrow pass deep right intended for Auden Tate is intercepted by Adrian Amos at GB-18 and returned for no gain (tackle by Auden Tate),,
3,13:23,1,10,GNB 18,16,14,Aaron Rodgers pass complete short right to Allen Lazard for 7 yards (tackle by Trae Waynes),,
3,12:44,2,3,GNB 25,16,14,Aaron Rodgers pass complete short right to Davante Adams for no gain (tackle by Chidobe Awuzie),,
3,12:02,3,3,GNB 25,16,14,Aaron Rodgers pass complete short left to Davante Adams for 8 yards (tackle by Mike Hilton),,
3,11:26,1,10,GNB 33,16,14,Aaron Jones right tackle for 1 yard (tackle by B.J. Hill and Logan Wilson),,
3,10:49,2,9,GNB 34,16,14,Aaron Jones left guard for 5 yards (tackle by Wyatt Ray and Jessie Bates),,
