Unnamed: 0,GNB,CIN
First Downs,21,18
Rush-Yds-TDs,22-133-0,24-103-1
Cmp-Att-Yd-TD-INT,27-39-344-2-1,26-38-281-2-2
Sacked-Yards,2-11,3-17
Net Pass Yards,333,264
Total Yards,466,367
Fumbles-Lost,0-0,0-0
Turnovers,1,2
Penalties-Yards,2-10,2-21
Third Down Conv.,4-11,5-14
Fourth Down Conv.,0-0,2-2
Time of Possession,33:59,34:06
