Quarter,Time,Tm,Detail,CHI,GNB
1.0,5:20,Packers,Eddie Lacy 25 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
2.0,6:03,Bears,Zach Miller 3 yard pass from Jay Cutler (Robbie Gould kick),7,7
,1:58,Packers,Mason Crosby 22 yard field goal,7,10
,0:30,Bears,Jeremy Langford 1 yard rush (Robbie Gould kick),14,10
,0:00,Packers,Mason Crosby 50 yard field goal,14,13
4.0,12:15,Bears,Robbie Gould 21 yard field goal,17,13
