Unnamed: 0,CHI,GNB
First Downs,17,23
Rush-Yds-TDs,31-101-1,28-177-0
Cmp-Att-Yd-TD-INT,19-31-200-1-0,22-43-202-1-1
Sacked-Yards,1-11,2-14
Net Pass Yards,189,188
Total Yards,290,365
Fumbles-Lost,2-0,3-1
Turnovers,0,2
Penalties-Yards,12-95,3-38
Third Down Conv.,5-14,3-11
Fourth Down Conv.,0-0,0-2
Time of Possession,31:12,28:48
