Unnamed: 0,DEN,KAN
First Downs,15,27
Rush-Yds-TDs,15-52-0,25-92-0
Cmp-Att-Yd-TD-INT,18-40-208-0-1,27-34-340-2-1
Sacked-Yards,2-9,3-13
Net Pass Yards,199,327
Total Yards,251,419
Fumbles-Lost,2-0,0-0
Turnovers,1,1
Penalties-Yards,7-72,5-45
Third Down Conv.,5-14,6-11
Fourth Down Conv.,1-3,0-0
Time of Possession,26:27,33:33
