Quarter,Time,Tm,Detail,DET,CHI
1.0,10:10,Bears,Thomas Jones 3 yard rush (Doug Brien kick),0,7
,9:54,Lions,Roy Williams 51 yard pass from Joey Harrington (Remy Hamilton kick failed),6,7
,6:04,Bears,Doug Brien 48 yard field goal,6,10
2.0,11:34,Bears,Bobby Wade 73 yard punt return (Doug Brien kick),6,17
,1:14,Bears,Muhsin Muhammad 28 yard pass from Kyle Orton (Doug Brien kick),6,24
,0:57,Bears,Mike Brown 41 yard interception return (Doug Brien kick),6,31
4.0,12:13,Bears,Thomas Jones 16 yard rush (Doug Brien kick),6,38
