Unnamed: 0,DET,CHI
First Downs,14,18
Rush-Yds-TDs,17-29-0,37-187-2
Cmp-Att-Yd-TD-INT,21-43-216-1-5,15-22-161-1-0
Sacked-Yards,3-11,2-12
Net Pass Yards,205,149
Total Yards,234,336
Fumbles-Lost,0-0,0-0
Turnovers,5,0
Penalties-Yards,3-30,6-40
Third Down Conv.,5-14,8-15
Fourth Down Conv.,0-3,0-0
Time of Possession,26:48,33:12
