Quarter,Time,Tm,Detail,NOR,TEN
1.0,9:54,Saints,John Kasay 25 yard field goal,3,0
2.0,6:37,Titans,Rob Bironas 43 yard field goal,3,3
,0:15,Saints,John Kasay 29 yard field goal,6,3
3.0,3:51,Saints,John Kasay 22 yard field goal,9,3
,2:19,Titans,Jake Locker 6 yard rush (Rob Bironas kick),9,10
4.0,12:39,Saints,Marques Colston 35 yard pass from Drew Brees (John Kasay kick),16,10
,7:01,Saints,Marques Colston 28 yard pass from Drew Brees (run failed),22,10
,5:58,Titans,Nate Washington 40 yard pass from Jake Locker (Rob Bironas kick),22,17
