Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Rob Bironas kicks off 70 yards, touchback",0.000,0.280
1,15:00,1,10,NOR 20,0,0,Pierre Thomas up the middle for 10 yards (tackle by Michael Griffin and Will Witherspoon),0.280,0.940
1,14:31,1,10,NOR 30,0,0,Drew Brees pass complete short middle to Jed Collins for 3 yards (tackle by Colin McCarthy),0.940,0.800
1,13:52,2,7,NOR 33,0,0,Pierre Thomas right tackle for 2 yards (tackle by Cortland Finnegan),0.800,0.370
1,13:17,3,5,NOR 35,0,0,Drew Brees pass complete short middle to Robert Meachem for 15 yards (tackle by Alterraun Verner),0.370,2.260
1,12:44,1,10,,0,0,Chris Ivory left tackle for 25 yards (tackle by Jordan Babineaux and Cortland Finnegan),2.260,3.910
1,12:07,1,10,TEN 25,0,0,Darren Sproles right end for 14 yards (tackle by Jordan Babineaux),3.910,4.840
1,11:27,1,10,TEN 11,0,0,Drew Brees pass complete short left to Lance Moore for 1 yard (tackle by Cortland Finnegan),4.840,4.320
1,11:03,2,9,TEN 10,0,0,"Drew Brees pass complete short right to Jimmy Graham for 7 yards (tackle by Colin McCarthy). Penalty on Jermon Bushrod: Illegal Formation, 5 yards (no play)",4.320,3.560
1,10:39,2,14,TEN 15,0,0,Drew Brees pass complete short left to Darren Sproles for 7 yards (tackle by Chris Hawkins),3.560,3.760
1,10:02,3,7,TEN 8,0,0,Drew Brees pass incomplete short left intended for Darren Sproles,3.760,2.960
1,9:58,4,7,TEN 8,3,0,John Kasay 25 yard field goal good,2.960,3.000
1,,,,NOR 35,3,0,"Thomas Morstead kicks off 69 yards, returned by Marc Mariani for 27 yards (tackle by Korey Hall). Penalty on Jamie Harper: Offensive Holding, 8 yards",0.000,-0.380
1,9:47,1,10,TEN 9,3,0,Matt Hasselbeck pass complete short left to Chris Johnson for 14 yards (tackle by Malcolm Jenkins),-0.380,0.480
1,9:05,1,10,TEN 23,3,0,Chris Johnson right tackle for -1 yards (tackle by Will Smith),0.480,-0.200
1,8:21,2,11,TEN 22,3,0,Matt Hasselbeck pass complete short right to Chris Johnson for 2 yards (tackle by Malcolm Jenkins),-0.200,-0.630
1,7:40,3,9,TEN 24,3,0,"Penalty on Cameron Jordan: Neutral Zone Infraction, 5 yards (no play)",-0.630,0.040
1,7:15,3,4,TEN 29,3,0,Matt Hasselbeck pass incomplete short middle intended for Jared Cook,0.040,-1.440
1,7:12,4,4,TEN 29,3,0,"Brett Kern punts 52 yards, returned by Darren Sproles for 81 yards. Penalty on Martez Wilson: Offensive Holding, 9 yards",-1.440,0.380
1,6:54,1,10,NOR 10,3,0,Chris Ivory up the middle for no gain (tackle by Will Witherspoon),-0.380,-0.780
1,6:19,2,10,NOR 10,3,0,Drew Brees pass complete short right to Marques Colston for 7 yards (tackle by Akeem Ayers and Alterraun Verner),-0.780,-0.600
1,5:47,3,3,NOR 17,3,0,Drew Brees pass complete short middle to Jimmy Graham for 6 yards (tackle by Cortland Finnegan),-0.600,0.480
1,5:12,1,10,NOR 23,3,0,Drew Brees pass complete short left to Pierre Thomas for 1 yard (tackle by Michael Griffin),0.480,0.070
1,4:43,2,9,NOR 24,3,0,Drew Brees pass complete short middle to Jimmy Graham for 8 yards (tackle by Chris Hope),0.070,0.430
1,4:08,3,1,NOR 32,3,0,Chris Ivory left guard for 3 yards (tackle by Dave Ball and Colin McCarthy),0.430,1.270
1,3:30,1,10,NOR 35,3,0,Drew Brees pass complete short right to Jed Collins for 1 yard (tackle by Cortland Finnegan),1.270,0.860
1,2:54,2,9,NOR 36,3,0,Darren Sproles left guard for 4 yards (tackle by Akeem Ayers),0.860,0.700
1,2:13,3,5,NOR 40,3,0,Drew Brees pass complete short middle to Lance Moore for 6 yards (tackle by Chris Hawkins),0.700,1.990
1,1:34,1,10,NOR 46,3,0,Drew Brees pass incomplete short left intended for Jimmy Graham,1.990,1.450
1,1:30,2,10,NOR 46,3,0,"Drew Brees pass complete short right to Darren Sproles for 5 yards (tackle by Alterraun Verner). Penalty on Robert Meachem: Offensive Holding, 10 yards",1.450,0.780
1,0:59,2,15,NOR 41,3,0,Drew Brees pass incomplete short right intended for Robert Meachem (defended by Cortland Finnegan),0.780,0.100
1,0:54,3,15,NOR 41,3,0,Drew Brees pass complete short right to Darren Sproles for 8 yards (tackle by Akeem Ayers),0.100,-0.130
1,0:11,4,7,NOR 49,3,0,"Thomas Morstead punts 40 yards, fair catch by Marc Mariani",-0.130,0.370
1,0:03,1,10,TEN 11,3,0,Chris Johnson up the middle for 2 yards (tackle by Shaun Rogers),-0.370,-0.630
Quarter,Time,Down,ToGo,Location,NOR,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,8,TEN 13,3,0,Matt Hasselbeck pass complete short middle to Nate Washington for 13 yards (tackle by Jabari Greer),-0.630,0.670
2,15:00,1,10,TEN 26,3,0,"Penalty on Eugene Amano: False Start, 6 yards (no play)",0.670,0.280
2,13:53,1,16,TEN 20,3,0,Chris Johnson right end for 3 yards (tackle by Jabari Greer),0.280,-0.280
2,13:12,2,13,TEN 23,3,0,Matt Hasselbeck pass complete short left to Chris Johnson for 6 yards (tackle by Jo-Lonn Dunbar),-0.280,-0.160
2,12:25,3,7,TEN 29,3,0,"Matt Hasselbeck pass incomplete short middle intended for Jared Cook. Penalty on Roman Harper: Roughing the Passer, 16 yards (no play)",-0.160,1.930
2,12:21,1,10,TEN 45,3,0,"Penalty on Michael Roos: False Start, 5 yards (no play)",1.930,1.600
2,12:21,1,15,TEN 40,3,0,"Javon Ringer left end for 3 yards (tackle by Tracy Porter). Penalty on Eugene Amano: Offensive Holding, 10 yards (no play)",1.600,0.940
2,11:54,1,25,TEN 30,3,0,"Matt Hasselbeck pass complete short right to Javon Ringer for 25 yards. Penalty on Leroy Harris: Illegal Block Above the Waist, 10 yards (no play)",0.940,0.280
2,11:18,1,35,TEN 20,3,0,Matt Hasselbeck pass incomplete short right intended for Damian Williams (defended by Shaun Rogers),0.280,-1.990
2,11:13,2,35,TEN 20,3,0,Jake Locker pass complete short left to Lavelle Hawkins for 9 yards (tackle by Aubrayo Franklin),-1.990,-1.420
2,10:33,3,26,TEN 29,3,0,Jake Locker pass complete short middle to Javon Ringer for 11 yards (tackle by Martez Wilson and Malcolm Jenkins),-1.420,-0.720
2,9:52,4,15,TEN 40,3,0,"Brett Kern punts 40 yards, fair catch by Darren Sproles",-0.720,-0.280
2,9:45,1,10,NOR 20,3,0,"Penalty on Drew Brees: False Start, 5 yards (no play)",0.280,-0.310
2,9:45,1,15,NOR 15,3,0,Chris Ivory right end for -2 yards (tackle by Alterraun Verner),-0.310,-1.280
2,9:08,2,17,NOR 13,3,0,Drew Brees pass incomplete deep middle intended for Jimmy Graham (defended by Jordan Babineaux),-1.280,-2.190
2,9:04,3,17,NOR 13,3,0,Drew Brees pass incomplete short left intended for Jimmy Graham,-2.190,-2.490
2,8:59,4,17,NOR 13,3,0,"Thomas Morstead punts 54 yards, returned by Marc Mariani for 10 yards (tackle by Courtney Roby)",-2.490,-1.800
2,8:48,1,10,TEN 43,3,0,Jake Locker pass complete deep right to Craig Stevens for 31 yards (tackle by Will Herring),1.800,3.840
2,8:10,1,10,NOR 26,3,0,Chris Johnson right end for -1 yards (tackle by Roman Harper),3.840,3.160
2,7:33,2,11,NOR 27,3,0,Chris Johnson left guard for 2 yards (tackle by Shaun Rogers),3.160,2.740
2,6:50,3,9,NOR 25,3,0,Jake Locker pass incomplete deep right intended for Nate Washington (defended by Jabari Greer),2.740,1.800
2,6:42,4,9,NOR 25,3,3,Rob Bironas 43 yard field goal good,1.800,3.000
2,,,,TEN 35,3,3,"Rob Bironas kicks off 66 yards, returned by Darren Sproles for 19 yards (tackle by Chris Hawkins)",0.000,0.040
2,6:31,1,10,NOR 18,3,3,Chris Ivory right guard for 4 yards (tackle by Colin McCarthy),0.040,0.140
2,6:03,2,6,NOR 22,3,3,Drew Brees pass complete short right to Jimmy Graham for 2 yards (tackle by Chris Hope),0.140,-0.400
2,5:28,3,4,NOR 24,3,3,"Drew Brees pass incomplete short middle intended for Lance Moore. Penalty on Chris Hope: Illegal Contact, 5 yards (no play)",-0.400,0.870
2,5:24,1,10,NOR 29,3,3,"Chris Ivory right end for 13 yards (tackle by Alterraun Verner). Penalty on Jed Collins: Offensive Holding, 10 yards (no play)",0.870,0.110
2,5:03,1,20,NOR 19,3,3,Drew Brees pass incomplete short right intended for Pierre Thomas,0.110,-1.080
2,5:00,2,20,NOR 19,3,3,Chris Ivory right end for 1 yard (tackle by Chris Hope),-1.080,-1.550
2,4:21,3,19,NOR 20,3,3,Drew Brees pass complete short right to Pierre Thomas for 5 yards (tackle by Akeem Ayers),-1.550,-1.700
2,3:46,4,14,NOR 25,3,3,"Thomas Morstead punts 54 yards, returned by Marc Mariani for 8 yards (tackle by Jonathan Amaya)",-1.700,-0.870
2,3:34,1,10,TEN 29,3,3,Jake Locker pass incomplete short left intended for Damian Williams,0.870,0.330
2,3:32,2,10,TEN 29,3,3,Jake Locker pass incomplete short right intended for Craig Stevens,0.330,-0.360
2,3:27,3,10,TEN 29,3,3,"Penalty on Michael Roos: False Start, 5 yards (no play)",-0.360,-1.020
2,3:27,3,15,TEN 24,3,3,Jake Locker pass complete short right to Chris Johnson for 12 yards (tackle by Tracy Porter and Junior Galette),-1.020,-0.980
