Unnamed: 0,NOR,TEN
First Downs,24,17
Rush-Yds-TDs,26-114-0,17-59-1
Cmp-Att-Yd-TD-INT,36-47-337-2-0,18-36-326-1-0
Sacked-Yards,2-14,2-12
Net Pass Yards,323,314
Total Yards,437,373
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,11-95,8-54
Third Down Conv.,11-19,1-10
Fourth Down Conv.,0-0,1-2
Time of Possession,37:33,22:27
