Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Melvin Gordon,LAC,10,42,0,1,31,3.1,11,1.1,0,
Austin Ekeler,LAC,8,58,1,2,0,0.0,58,7.3,0,
Justin Jackson,LAC,6,10,0,1,5,0.8,5,0.8,0,
Geno Smith,LAC,2,-2,0,,-2,-1.0,0,0.0,0,
Travis Benjamin,LAC,1,11,0,1,11,11.0,0,0.0,0,
Philip Rivers,LAC,1,0,0,0,0,0.0,0,0.0,0,
Derek Watt,LAC,1,8,0,,2,2.0,6,6.0,1,1.0
Mike Williams,LAC,1,-11,0,0,-11,-11.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Royce Freeman,DEN,17,60,0,4,27,1.6,33,1.9,0,
Devontae Booker,DEN,5,14,0,2,3,0.6,11,2.2,0,
Case Keenum,DEN,3,8,0,1,8,2.7,0,0.0,0,
