Unnamed: 0,LAC,DEN
First Downs,17,19
Rush-Yds-TDs,30-116-1,25-82-0
Cmp-Att-Yd-TD-INT,14-24-176-1-2,31-48-292-1-1
Sacked-Yards,1-16,1-4
Net Pass Yards,160,288
Total Yards,276,370
Fumbles-Lost,3-2,4-3
Turnovers,4,4
Penalties-Yards,6-51,11-99
Third Down Conv.,4-11,4-14
Fourth Down Conv.,0-0,1-2
Time of Possession,28:12,31:48
