Quarter,Time,Tm,Detail,LAC,DEN
2.0,5:32,Chargers,Kyle Emanuel 18 yard fumble return (Michael Badgley kick),7,0
,0:11,Broncos,Brandon McManus 28 yard field goal,7,3
3.0,3:46,Chargers,Mike Williams 3 yard pass from Philip Rivers (Michael Badgley kick),14,3
4.0,10:10,Broncos,Andy Janovich 20 yard pass from Case Keenum (pass failed),14,9
,10:10,Chargers,Casey Hayward defensive extra point return,16,9
,10:10,Chargers,Austin Ekeler 1 yard rush (Michael Badgley kick),23,9
