Unnamed: 0,ARI,CAR
First Downs,11,16
Rush-Yds-TDs,17-43-0,45-177-0
Cmp-Att-Yd-TD-INT,17-33-196-0-1,13-19-141-1-0
Sacked-Yards,3-21,2-15
Net Pass Yards,175,126
Total Yards,218,303
Fumbles-Lost,2-1,1-1
Turnovers,2,1
Penalties-Yards,4-39,6-58
Third Down Conv.,4-15,4-15
Fourth Down Conv.,1-1,2-3
Time of Possession,23:04,36:56
