Quarter,Time,Tm,Detail,DAL,SEA
1.0,8:10,Cowboys,Greg Zuerlein 43 yard field goal,3,0
,6:39,Seahawks,Tyler Lockett 43 yard pass from Russell Wilson (Jason Myers kick),3,7
,6:36,Seahawks,"Safety, Ezekiel Elliott tackled in end zone by Bryan Mone",3,9
,1:40,Cowboys,Ezekiel Elliott 1 yard rush (Greg Zuerlein kick failed),9,9
2.0,6:53,Seahawks,Tyler Lockett 1 yard pass from Russell Wilson (Jason Myers kick),9,16
,6:05,Cowboys,Cedrick Wilson Jr. 40 yard pass from Dak Prescott (Greg Zuerlein kick failed),15,16
,0:07,Seahawks,Tyler Lockett 1 yard pass from Russell Wilson (Jason Myers kick),15,23
3.0,14:14,Seahawks,Jacob Hollister 1 yard pass from Russell Wilson (Jason Myers kick),15,30
,5:47,Cowboys,Cedrick Wilson Jr. 42 yard pass from Dak Prescott (Greg Zuerlein kick),22,30
4.0,13:07,Cowboys,Michael Gallup 43 yard pass from Dak Prescott (pass failed),28,30
,3:59,Cowboys,Greg Zuerlein 42 yard field goal,31,30
,1:47,Seahawks,D.K. Metcalf 29 yard pass from Russell Wilson (Jacob Hollister pass from Russell Wilson),31,38
